PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-01,2018-01-01,16.0,mg/L,0.001,mg/L,5.12,mg/L,0.9,μg/L,0.093,mg/L,,,0.0,NMP/100mL,25.0,μS/cm,12.1,UC,,mg/L,,mg/L,16.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.0,mg/L,0.028,mg/L,0.0032,mg/L,0.001,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,15.35,mg/L,,,12.0,,,mg/L,,,,,,,30.1,°C,,m,17.38,NTU,,,,,7.42,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2018-01-01,12.0,mg/L,0.009,mg/L,8.2,mg/L,1.3,μg/L,1.052,mg/L,,,4.0,NMP/100mL,23.0,μS/cm,3.8,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.392,mg/L,,,,,1.59,mg/L,0.035,mg/L,0.071,mg/L,0.004,mg/L,,mg/L,,mg/L,5.1,mg/L,0.0,mg/L,14.48,mg/L,,,11.0,,,mg/L,,,,,,,30.5,°C,,m,17.23,NTU,,,,,7.5,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2018-01-01,16.0,mg/L,0.04,mg/L,31.2,mg/L,2.4,μg/L,0.847,mg/L,,,70.0,NMP/100mL,17.0,μS/cm,2.0,UC,,mg/L,,mg/L,12.0,mg/L,2.6,NPM/100mL,0.46,mg/L,,,,,0.913,mg/L,0.231,mg/L,0.106,mg/L,0.018,mg/L,,mg/L,,mg/L,5.1,mg/L,0.0,mg/L,19.53,mg/L,,,8.0,,,mg/L,,,,,,,30.2,°C,,m,21.3,NTU,,,,,7.1,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2018-01-01,26.0,mg/L,0.022,mg/L,46.2,mg/L,0.0,μg/L,0.431,mg/L,,,0.0,NMP/100mL,120.0,μS/cm,4.2,UC,,mg/L,,mg/L,22.0,mg/L,0.0,NPM/100mL,0.54,mg/L,,,,,1.21,mg/L,0.2,mg/L,0.091,mg/L,0.006,mg/L,,mg/L,,mg/L,5.2,mg/L,0.0,mg/L,26.21,mg/L,,,60.0,,,mg/L,,,,,,,26.2,°C,,m,22.4,NTU,,,,,6.62,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2018-01-01,26.0,mg/L,0.0,mg/L,62.3,mg/L,1.1,μg/L,0.463,mg/L,,,636.0,NMP/100mL,114.0,μS/cm,6.8,UC,,mg/L,,mg/L,28.0,mg/L,12.3,NPM/100mL,3.407,mg/L,,,,,1.693,mg/L,0.19,mg/L,0.195,mg/L,0.02,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,29.0,mg/L,,,56.0,,,mg/L,,,,,,,26.8,°C,,m,19.43,NTU,,,,,6.2,mg/L,2.3,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2018-01-01,16.0,mg/L,0.037,mg/L,36.4,mg/L,0.0,μg/L,0.513,mg/L,,,0.0,NMP/100mL,12.0,μS/cm,2.1,UC,,mg/L,,mg/L,20.0,mg/L,0.0,NPM/100mL,1.26,mg/L,,,,,1.213,mg/L,0.071,mg/L,0.019,mg/L,0.015,mg/L,,mg/L,,mg/L,4.9,mg/L,0.001,mg/L,15.2,mg/L,,,6.0,,,mg/L,,,,,,,27.3,°C,,m,19.39,NTU,,,,,6.9,mg/L,2.3,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2018-01-01,16.0,mg/L,0.035,mg/L,16.3,mg/L,0.0,μg/L,0.617,mg/L,,,38.0,NMP/100mL,20.0,μS/cm,3.2,UC,,mg/L,,mg/L,18.0,mg/L,0.0,NPM/100mL,0.47,mg/L,,,,,1.217,mg/L,0.0,mg/L,0.096,mg/L,0.007,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,15.82,mg/L,,,10.0,,,mg/L,,,,,,,27.2,°C,,m,21.28,NTU,,,,,6.45,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2018-01-01,16.0,mg/L,0.031,mg/L,20.3,mg/L,1.5,μg/L,0.488,mg/L,,,10.0,NMP/100mL,17.0,μS/cm,3.1,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.423,mg/L,,,,,0.933,mg/L,0.0,mg/L,0.032,mg/L,0.0,mg/L,,mg/L,,mg/L,5.1,mg/L,0.0,mg/L,18.1,mg/L,,,8.0,,,mg/L,,,,,,,27.5,°C,,m,19.12,NTU,,,,,6.45,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2018-01-01,22.0,mg/L,0.03,mg/L,20.0,mg/L,0.0,μg/L,0.476,mg/L,,,0.0,NMP/100mL,15.0,μS/cm,3.1,UC,,mg/L,,mg/L,8.0,mg/L,0.0,NPM/100mL,0.312,mg/L,,,,,0.936,mg/L,0.088,mg/L,0.032,mg/L,0.0,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,0.0,mg/L,,,7.0,,,mg/L,,,,,,,26.6,°C,,m,14.3,NTU,,,,,6.2,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2018-01-01,12.0,mg/L,0.026,mg/L,8.0,mg/L,0.0,μg/L,0.554,mg/L,,,0.0,NMP/100mL,16.0,μS/cm,2.3,UC,,mg/L,,mg/L,12.0,mg/L,0.0,NPM/100mL,0.214,mg/L,,,,,0.56,mg/L,0.123,mg/L,0.071,mg/L,0.003,mg/L,,mg/L,,mg/L,5.0,mg/L,0.0,mg/L,19.27,mg/L,,,8.0,,,mg/L,,,,,,,26.4,°C,,m,11.91,NTU,,,,,6.53,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
