PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-01,2018-01-01,0.9,,12.0,,,,,17.38,-18.40471469720768,-51.22287716980235
CLA-02,2018-01-01,1.3,,11.0,,,,,17.23,-18.478620867606217,-51.188607926708855
CLA-03,2018-01-01,2.4,,8.0,,,,,21.3,-18.528218997966466,-51.15191904306638
CLA-04,2018-01-01,0.0,,60.0,,,,,22.4,-18.554869066877227,-51.12675459317855
CLA-05,2018-01-01,1.1,,56.0,,,,,19.43,-18.55495622601502,-51.12622947820932
CLA-06,2018-01-01,0.0,,6.0,,,,,19.39,-18.569842526616718,-51.10807692400981
CLA-06B,2018-01-01,0.0,,10.0,,,,,21.28,-18.580416304138193,-51.10538491999489
CLA-07,2018-01-01,1.5,,8.0,,,,,19.12,-18.64469238815568,-51.05218482324302
CLA-08,2018-01-01,0.0,,7.0,,,,,14.3,-18.706763370925028,-51.008782838537705
CLA-08CS,2018-01-01,0.0,,8.0,,,,,11.91,-18.658334892800493,-51.06757829218299
CLA-09,2018-01-01,0.0,,6.0,,,,,10.8,-18.732783800131944,-51.003284514940056
CLA-01,2018-03-20,0.9,,10.0,,,,,18.4,-18.40471469720768,-51.22287716980235
CLA-02,2018-03-20,1.3,,12.0,,,,,20.2,-18.478620867606217,-51.188607926708855
CLA-03,2018-03-20,2.4,,12.0,,,,,23.5,-18.528218997966466,-51.15191904306638
CLA-04,2018-03-21,0.0,,52.0,,,,,21.4,-18.554869066877227,-51.12675459317855
CLA-05,2018-03-21,1.1,,11.0,,,,,23.8,-18.55495622601502,-51.12622947820932
CLA-06,2018-03-21,0.0,,9.0,,,,,21.3,-18.569842526616718,-51.10807692400981
CLA-06B,2018-03-21,0.0,,11.0,,,,,26.8,-18.580416304138193,-51.10538491999489
CLA-07,2018-03-21,1.5,,8.0,,,,,27.1,-18.64469238815568,-51.05218482324302
CLA-08,2018-03-21,0.0,,11.0,,,,,19.8,-18.706763370925028,-51.008782838537705
CLA-08CS,2018-03-21,0.0,,9.0,,,,,20.3,-18.658334892800493,-51.06757829218299
CLA-09,2018-03-20,0.0,,12.0,,,,,20.18,-18.732783800131944,-51.003284514940056
CLA-01,2018-06-25,1.3,,9.0,,,,,14.1,-18.40471469720768,-51.22287716980235
CLA-02,2018-06-25,1.4,,8.0,,,,,15.0,-18.478620867606217,-51.188607926708855
CLA-03,2018-06-25,1.8,,10.0,,,,,21.0,-18.528218997966466,-51.15191904306638
CLA-04,2018-06-25,2.6,,8.0,,,,,10.0,-18.554869066877227,-51.12675459317855
CLA-05,2018-06-25,6.5,,16.0,,,,,28.2,-18.55495622601502,-51.12622947820932
CLA-06,2018-06-25,2.4,,8.0,,,,,20.0,-18.569842526616718,-51.10807692400981
CLA-06B,2018-06-25,2.3,,10.0,,,,,16.0,-18.580416304138193,-51.10538491999489
CLA-07,2018-06-25,2.5,,6.0,,,,,21.0,-18.64469238815568,-51.05218482324302
