PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
CLA-03,2018-03-20,2.4,,12.0,,,,,23.5,-18.528218997966466,-51.15191904306638,560.0,857.0,742.0,564.0,54.0,64.0,-0.1362940275650842,-0.864321608040201,-567.4666666666667,0.8610206297502715,1.5303571428571427,0.8658109684947491,0.7601078167115903,2018-03-09,31.458172,3,2
CLA-04,2018-03-21,0.0,,52.0,,,,,21.4,-18.554869066877227,-51.12675459317855,378.0,497.0,468.0,438.0,265.0,171.0,-0.033112582781456956,-0.27694406548431105,-150.2,0.4880239520958084,1.3148148148148149,0.9416498993963782,0.9358974358974359,2018-03-09,31.458172,3,2
CLA-05,2018-03-21,1.1,,11.0,,,,,23.8,-18.55495622601502,-51.12622947820932,556.0,858.0,1006.0,808.0,240.0,91.0,-0.10915104740904079,-0.6147672552166934,-603.3333333333334,0.8082191780821918,1.5431654676258992,1.1724941724941724,0.8031809145129225,2018-03-09,31.458172,3,2
CLA-06,2018-03-21,0.0,,9.0,,,,,21.3,-18.56984252661672,-51.10807692400981,684.0,1038.0,1246.0,1099.0,312.0,172.0,-0.0626865671641791,-0.5994865211810013,-743.0666666666666,0.715702479338843,1.5175438596491229,1.2003853564547207,0.8820224719101124,2018-03-09,31.458172,3,2
CLA-06B,2018-03-21,0.0,,11.0,,,,,26.8,-18.580416304138197,-51.10538491999489,5812.0,5888.0,5832.0,6778.0,6568.0,5964.0,0.07501982553528945,0.05935483870967742,712.5333333333338,-0.00641241984475194,1.0130763936682725,0.9904891304347826,1.1622085048010975,2018-03-09,31.458172,3,2
CLA-07,2018-03-21,1.5,,8.0,,,,,27.1,-18.64469238815568,-51.05218482324302,586.0,850.0,726.0,579.0,148.0,88.0,-0.11264367816091954,-0.6613272311212814,-464.5777777777778,0.8123667377398721,1.4505119453924915,0.8541176470588235,0.7975206611570248,2018-03-09,31.458172,3,2
CLA-08,2018-03-21,0.0,,11.0,,,,,19.8,-18.706763370925028,-51.008782838537705,3792.0,3928.0,3904.0,4517.0,4816.0,4765.0,0.07279420496378103,0.10458715596330276,758.9333333333334,-0.09628436673185321,1.0358649789029535,0.9938900203665988,1.1570184426229508,2018-03-09,31.458172,3,2
CLA-08CS,2018-03-21,0.0,,9.0,,,,,20.3,-18.658334892800493,-51.06757829218299,356.0,368.0,283.0,224.0,5.0,54.0,-0.11637080867850098,-0.9652777777777778,-237.2888888888889,0.7440758293838863,1.0337078651685394,0.7690217391304348,0.7915194346289752,2018-03-09,31.458172,3,2
CLA-09,2018-03-20,0.0,,12.0,,,,,20.18,-18.732783800131944,-51.003284514940056,2774.0,2366.0,1842.0,2036.0,3836.0,2330.0,0.05002578648788035,0.3511799929552659,1907.2444444444445,0.007666098807495741,0.8529199711607787,0.7785291631445478,1.1053203040173725,2018-03-09,31.458172,3,2
CLA-01,2018-06-25,1.3,,9.0,,,,,14.1,-18.40471469720768,-51.22287716980235,826.0,1160.0,1046.0,1376.0,605.0,337.0,0.13625103220478943,-0.26711084191399154,-314.9555555555555,0.5497661990647963,1.4043583535108959,0.9017241379310345,1.315487571701721,2018-06-10,25.503033,6,3
CLA-02,2018-06-25,1.4,,8.0,,,,,15.0,-18.478620867606217,-51.188607926708855,331.0,446.0,218.0,192.0,123.0,85.0,-0.06341463414634146,-0.2785923753665689,-71.35555555555555,0.67984934086629,1.3474320241691844,0.48878923766816146,0.8807339449541285,2018-06-10,25.503033,6,3
CLA-03,2018-06-25,1.8,,10.0,,,,,21.0,-18.528218997966466,-51.15191904306638,348.0,494.0,222.0,220.0,175.0,160.0,-0.004524886877828055,-0.11838790931989925,-35.97777777777779,0.5107033639143731,1.4195402298850575,0.4493927125506073,0.990990990990991,2018-06-10,25.503033,6,3
CLA-04,2018-06-25,2.6,,8.0,,,,,10.0,-18.554869066877227,-51.12675459317855,458.0,552.0,590.0,669.0,564.0,520.0,0.06274821286735505,-0.022530329289428077,-13.555555555555543,0.029850746268656716,1.205240174672489,1.068840579710145,1.1338983050847458,2018-06-10,25.503033,6,3
CLA-05,2018-06-25,6.5,,16.0,,,,,28.2,-18.55495622601502,-51.12622947820932,481.0,667.0,578.0,515.0,324.0,346.0,-0.05763952424519671,-0.28159645232815966,-212.7555555555556,0.3168805528134255,1.3866943866943866,0.8665667166416792,0.8910034602076125,2018-06-10,25.503033,6,3
CLA-06,2018-06-25,2.4,,8.0,,,,,20.0,-18.56984252661672,-51.10807692400981,428.0,624.0,367.0,345.0,285.0,220.0,-0.03089887640449438,-0.12576687116564417,-55.866666666666674,0.4786729857819905,1.4579439252336448,0.5881410256410257,0.9400544959128065,2018-06-10,25.503033,6,3
CLA-06B,2018-06-25,2.3,,10.0,,,,,16.0,-18.580416304138197,-51.10538491999489,422.0,647.0,378.0,332.0,220.0,190.0,-0.0647887323943662,-0.26421404682274247,-124.57777777777778,0.5459976105137395,1.533175355450237,0.5842349304482226,0.8783068783068783,2018-06-10,25.503033,6,3
CLA-07,2018-06-25,2.5,,6.0,,,,,21.0,-18.64469238815568,-51.05218482324302,507.0,652.0,368.0,325.0,220.0,254.0,-0.06204906204906205,-0.25170068027210885,-127.73333333333335,0.4392935982339956,1.2859960552268244,0.5644171779141104,0.8831521739130435,2018-06-10,25.503033,6,3
CLA-08,2018-06-25,2.6,,8.0,,,,,16.0,-18.706763370925028,-51.008782838537705,691.0,756.0,504.0,466.0,642.0,420.0,-0.03917525773195876,0.12041884816753927,152.93333333333334,0.2857142857142857,1.0940665701881331,0.6666666666666666,0.9246031746031746,2018-06-10,25.503033,6,3
CLA-08CS,2018-06-25,2.9,,9.0,,,,,18.0,-18.658334892800493,-51.06757829218299,425.0,573.0,344.0,279.0,153.0,173.0,-0.1043338683788122,-0.3843058350100604,-160.60000000000002,0.5361930294906166,1.348235294117647,0.6003490401396161,0.811046511627907,2018-06-10,25.503033,6,3
CLA-09,2018-06-25,2.8,,10.0,,,,,19.0,-18.732783800131944,-51.003284514940056,726.0,761.0,670.0,767.0,770.0,737.0,0.0675017397355602,0.06944444444444445,88.08888888888885,0.01602136181575434,1.0482093663911847,0.8804204993429697,1.144776119402985,2018-06-10,25.503033,6,3
