,PONTO,DATA,Clorofila a
26,CLA-05,2018-06-25,6.5
49,CLA-05,2019-01-22,4.8
91,CLA-09,2019-10-05,6.38
135,CLA-06B,2020-10-07,5.2
152,CLA-ETE,2021-10-03,36.32
164,CLA-ETE,2022-01-04,66.75
168,CLA-04,2022-04-03,5.34
178,CLA-02,2022-07-02,5.674
179,CLA-03,2022-07-02,13.684
180,CLA-04,2022-07-02,8.678
181,CLA-05,2022-07-02,17.355
186,CLA-08CS,2022-07-02,4.673
187,CLA-09,2022-07-02,10.68
198,CLA-08CS,2022-10-04,6.675
200,CLA-ETE,2022-10-04,28.369
202,CLA-02,2023-01-15,16.688
212,CLA-ETE,2023-01-15,230.288
219,CLA-06B,2023-04-10,6.26
224,CLA-ETE,2023-04-10,86.11
239,CLA-03,2023-10-04,5.34
242,CLA-06,2023-10-04,7.676
264,CLA-07,2024-04-22,16.02
265,CLA-08,2024-04-22,14.685
