,PONTO,DATA,Sólidos Dissolvidos Totais
80,CLA-ETE,2019-07-16,44.0
85,CLA-05,2019-10-05,252.0
157,CLA-05,2022-01-04,98.0
164,CLA-ETE,2022-01-04,156.0
176,CLA-ETE,2022-04-03,166.0
181,CLA-05,2022-07-02,62.0
188,CLA-ETE,2022-07-02,98.0
193,CLA-05,2022-10-04,386.0
205,CLA-05,2023-01-15,100.0
212,CLA-ETE,2023-01-15,206.0
217,CLA-05,2023-04-10,95.49
219,CLA-06B,2023-04-10,101.08
224,CLA-ETE,2023-04-10,55.0
229,CLA-05,2023-07-25,124.0
240,CLA-04,2023-10-04,266.0
241,CLA-05,2023-10-04,294.0
251,CLA-05,2024-01-20,146.0
261,CLA-05,2024-04-22,214.0
