,PONTO,DATA,Turbidez
104,CLA-ETE,2020-01-02,146.2
108,CLA-04,2020-04-01,56.01
110,CLA-06,2020-04-01,53.84
152,CLA-ETE,2021-10-03,89.9
201,CLA-01,2023-01-15,68.9
202,CLA-02,2023-01-15,77.9
204,CLA-04,2023-01-15,60.9
206,CLA-06,2023-01-15,57.1
207,CLA-06B,2023-01-15,54.9
212,CLA-ETE,2023-01-15,61.5
257,CLA-01,2024-04-22,49.3
258,CLA-02,2024-04-22,51.1
259,CLA-03,2024-04-22,62.8
260,CLA-04,2024-04-22,85.7
262,CLA-06,2024-04-22,83.9
263,CLA-06B,2024-04-22,79.5
264,CLA-07,2024-04-22,65.3
265,CLA-08,2024-04-22,53.5
266,CLA-08CS,2024-04-22,65.6
