PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,23.0,1.0006521739130434,0.7380720344676671,0.001,0.55,1.0,1.0,3.004
CLA-02,23.0,1.8192608695652173,3.4326963191874174,0.001,0.775,1.0,1.3,16.688
CLA-03,23.0,2.1445217391304348,2.8560536006805743,0.0,0.8,1.669,2.4,13.684
CLA-04,23.0,1.7677391304347827,2.0691426906591777,0.0,0.365,1.0,2.725,8.678
CLA-05,23.0,2.392782608695652,3.6514772098740047,0.01,1.0,1.0,2.3645,17.355
CLA-06,23.0,1.4968260869565218,1.7843670294118794,0.0,0.3,1.0,1.875,7.676
CLA-06B,23.0,1.4554782608695656,1.561148116831887,0.0,0.64,1.0,1.96,6.26
CLA-07,23.0,2.240391304347826,3.276029133780024,0.0,0.9,1.335,2.85,16.02
CLA-08,23.0,1.6990869565217388,2.9621606965346867,0.0,0.4,1.0,1.99,14.685
CLA-08CS,23.0,1.414782608695652,1.674465585208436,0.0,0.25,1.0,1.445,6.675
CLA-09,20.0,1.61455,2.604377559236109,0.0,0.00775,1.0,1.4,10.68
CLA-ETE,10.0,45.6707,71.63885927196837,1.0,1.4449999999999998,15.8895,59.1425,230.288
