PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,4.0,11.75,3.095695936834452,9.0,9.75,11.0,13.0,16.0
CLA-02,4.0,11.75,3.304037933599835,8.0,10.25,11.5,13.0,16.0
CLA-03,4.0,11.5,3.415650255319866,8.0,9.5,11.0,13.0,16.0
CLA-04,4.0,34.0,25.81988897471611,8.0,14.0,34.0,54.0,60.0
CLA-05,4.0,25.25,20.710303393882636,11.0,14.75,17.0,27.5,56.0
CLA-06,4.0,9.75,4.349329450233296,6.0,7.5,8.5,10.75,16.0
CLA-06B,4.0,11.75,2.8722813232690143,10.0,10.0,10.5,12.25,16.0
CLA-07,4.0,9.5,4.43471156521669,6.0,7.5,8.0,10.0,16.0
CLA-08,4.0,10.5,4.041451884327381,7.0,7.75,9.5,12.25,16.0
CLA-08CS,4.0,10.5,3.696845502136472,8.0,8.75,9.0,10.75,16.0
CLA-09,4.0,11.0,4.163331998932265,6.0,9.0,11.0,13.0,16.0
CLA-ETE,1.0,128.0,,128.0,128.0,128.0,128.0,128.0
