PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,23.0,17.893478260869564,17.802028129783327,1.06,4.18,16.68,22.35,68.9
CLA-02,23.0,15.78,17.633907162571255,1.98,3.9450000000000003,12.05,19.2,77.9
CLA-03,23.0,14.340869565217393,14.55799340351406,1.59,2.77,10.92,21.15,62.8
CLA-04,23.0,21.443913043478254,21.901595778126726,1.06,3.5999999999999996,19.8,28.89,85.7
CLA-05,23.0,14.674347826086958,10.47756730356768,1.73,5.07,12.72,22.950000000000003,35.0
CLA-06,23.0,20.493913043478262,20.921683779608017,1.44,3.71,17.5,27.035,83.9
CLA-06B,23.0,17.996086956521737,18.65652328985286,1.29,3.56,16.0,23.0,79.5
CLA-07,23.0,14.154347826086957,14.172422910224103,1.09,2.8600000000000003,16.1,20.0,65.3
CLA-08,23.0,13.39217391304348,11.997314455752072,1.01,3.25,12.8,18.9,53.5
CLA-08CS,23.0,11.692608695652172,13.592359557483789,1.28,2.865,9.12,14.8,65.6
CLA-09,20.0,11.077499999999999,9.457493200186768,1.1,2.8725,10.29,18.700000000000003,35.3
CLA-ETE,15.0,35.63,38.71922132481489,2.84,11.74,20.24,37.61,146.2
