PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,19.0,13.44157894736842,4.6014928292142265,7.0,9.5,14.0,16.5,22.0
CLA-02,19.0,12.947368421052632,4.415549345595835,6.0,9.0,14.0,17.0,19.0
CLA-03,19.0,12.22842105263158,4.117741105614278,6.0,8.5,12.0,15.5,18.34
CLA-04,19.0,26.49736842105263,58.21235186244175,1.0,10.0,14.0,17.0,266.0
CLA-05,19.0,101.82052631578946,110.62589060400744,6.1,19.5,62.0,135.0,386.0
CLA-06,19.0,14.16421052631579,6.158382106969216,5.0,8.5,14.0,18.0,26.0
CLA-06B,19.0,18.741052631578945,20.667812305541098,7.0,9.5,14.0,18.0,101.08
CLA-07,19.0,13.700526315789475,4.45653137875462,7.0,10.0,14.0,17.0,22.0
CLA-08,18.0,14.281666666666666,6.661641071440722,3.0,9.25,13.5,20.0,28.0
CLA-08CS,19.0,13.985789473684212,5.524536497188875,3.0,9.0,16.0,18.365000000000002,22.0
CLA-09,16.0,12.77,6.396957610197731,6.0,8.75,10.0,16.33,30.0
CLA-ETE,15.0,59.135999999999996,65.33066669970981,6.0,20.0,24.0,76.5,206.0
