PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,12.0,39.416666666666664,51.28256541117571,7.0,20.5,25.0,29.5,196.0
CLA-02,10.0,52.1,55.80213058457336,20.0,25.0,30.0,52.25,204.0
CLA-03,10.0,51.0,44.43472115862149,18.0,22.5,27.0,61.0,150.0
CLA-04,10.0,71.5,99.56935048274421,22.0,25.25,39.0,64.5,350.0
CLA-05,10.0,172.2,118.37961536233057,30.0,82.5,147.0,225.5,402.0
CLA-06,10.0,34.7,19.94464561953631,16.0,25.25,30.0,36.0,88.0
CLA-06B,10.0,41.7,28.19791166420347,22.0,25.75,30.0,40.0,108.0
CLA-07,10.0,36.8,20.378638052845652,20.0,26.5,29.0,38.0,88.0
CLA-08,10.0,50.5,33.61629895683871,24.0,26.25,34.0,71.0,124.0
CLA-08CS,10.0,48.5,38.1320803989968,22.0,22.5,26.5,81.5,112.0
CLA-09,7.0,37.0,21.439838307848003,20.0,23.5,30.0,40.0,82.0
CLA-ETE,11.0,97.89545454545454,102.95550119965776,16.5,23.5,38.0,175.0,264.0
