PONTO,count,mean,std,min,25%,50%,75%,max
CLA-01,17.0,1.1352941176470588,0.6632695308758237,0.2,0.5,1.1,1.6,2.5
CLA-02,17.0,1.5058823529411764,0.9542474706773489,0.2,0.7,1.5,2.0,3.5
CLA-03,17.0,1.5617647058823527,1.2061728487975805,0.1,0.7,1.3,2.0,5.0
CLA-04,17.0,1.573529411764706,1.2607187492481748,0.2,0.6,1.4,2.2,4.0
CLA-05,17.0,0.7205882352941176,0.8823014690869223,0.0,0.2,0.4,0.6,3.0
CLA-06,17.0,3.112941176470588,6.39780408099713,0.26,0.8,1.5,2.5,27.6
CLA-06B,17.0,1.6311764705882354,1.1549723067726623,0.35,0.8,1.5,2.0,5.0
CLA-07,17.0,1.76,1.043677392684157,0.35,0.8,1.82,2.5,4.0
CLA-08,17.0,1.6382352941176472,1.077254817198081,0.35,1.0,1.6,1.6,5.0
CLA-08CS,17.0,1.6441176470588232,1.0325760191356943,0.4,0.8,1.4,2.5,4.5
CLA-09,14.0,0.7500000000000001,0.973297329857476,0.0,0.3,0.6,0.8,4.0
CLA-ETE,5.0,0.5,0.30000000000000004,0.0,0.5,0.6,0.6,0.8
