id_campanha,ponto,data,1-Bromo-4-flurbenzeno,"2,4-D",2-Fluorobifenilo (Surrogate),2-Metilnaftaleno,Acenafteno,Acenaftileno,Acidez Total,Alaclor,Alcalinidade Total,Alcalinidade de Bicarbonato,Aldicarbe + Aldicarbe Sulfona + Aldicarbe Sulfóxido,Aldrin,Aldrin e Dieldrin,Aldrin+Dieldrin,Alumínio Total,Alumínio dissolvido,Ametrina,Amônia,Antraceno,Arsênio,Atrazina,"Atrazina + S-Clorotriazinas (DEA, DIA, DACT)",Benzeno,Benzo(a)antraceno,Benzo(a)pireno,Boro Total,Bário Total,Carbendazim,Carbofurano,Ceriodaphnia dubia,Chumbo,Cianeto Livre,Ciproconazol,Cis-Clordano,Clordano (Isômeros),Cloreto,Cloreto Dissolvido,Cloro Residual Total,Clorofila a,Clorotalonil,Clorpirifós + Clorpirifos-oxon,Cobalto Dissolvido,Cobalto Total,Cobre Dissolvido,Cobre total,Coliformes Termotolerantes,Coliformes Totais,Condutividade Elétrica,Condutividade Elétrica (In situ),Cor Aparente,Cor Verdadeira,Criseno,Cromo,Cádmio,Cálcio Dissolvido,Cálcio Total,Cálcio total,DDD(Isomeros),DDE(Isomeros),DDT(Isomeros),"DDT(p,p-DDT, p,p-DDD, p,p-DDE)",Decano(C10),Demanda Bioquímica de Oxigênio,Demanda Química de Oxigênio,Densidade de Cianobactérias,"Dibenzo(a,h)antraceno",Dieldrin,Difenoconazol,Dimetoato + ometoato,Diuron,Docosano (C22),Dodecano(C12),Dotriacontano(C32),Dureza Cálcio,Dureza total,Déficit de OD de acordo com mg/L,Déficit de oxigênio dissolvido,Eicosano(C20),"Endosulfan (a, b, sulfato)",Endosulfan sulfato,Endrin,Enterococos/Estreptococos,Epoxiconazol,Escherichia coli,Estanho Total,Etilbenzeno,Fenantreno,Fenóis,Feoftina,Ferro Dissolvido,Ferro Total,Fipronil,Fitano(C20),Fluoranteno,Fluoreno,Fluoreto,Flutriafol,Fosfato,Fósforo Total,Fósforo Total Dissolvido,Glifosato,Glifosato + AMPA,Gution,Heneicosano(C21),Hentriacontano(C31),Heptacloro,Heptacloro + Heptacloro Epóxido,Heptacosano(C27),Heptadecano(C17),Heptatriacontano(C37),Hexaclorobenzeno,Hexacosano(C26),Hexadecano(C16),Hexatriacontano(C36),Hidroxi-Atrazina,Lindano (gama-BHC),M-Paration,Magnésio Dissolvido,Magnésio Total,Malation,Mancozebe + ETU,Manganês Dissolvido,Manganês Total,Material Flutuante,Mercúrio,Metamidofós + Acefato,Metolaclor,Metolacloro,Metoxicloro,Metribuzim,Mirex (Dodecacloropentaciclodecano),Molibdênio Total,Molinato,Naftaleno,Nitrato,Nitrato (N),Nitrito,Nitrito (N),Nitrogênio Amoniacal,Nitrogênio Inorgânico,Nitrogênio Orgânico,Nitrogênio Total,Nitrogênio Total Kjeldahl,Nonacosano(C29),Nonadecano(C19),Nonano(C9),Nonatriacontano(C39),Níquel Dissolvido,Níquel Total,Nível de Água,Octacosano(C28),Octadecano(C18),Octano(C8),Octatriacontano(C38),Ortofosfato,Ortofosfato (P) Dissolvido,Ortofosfato (P) Total,Oxigênio dissolvido,P-Terfenil-d14 (Surrogate),PCB-101,PCB-118,PCB-138,PCB-153,PCB-180,PCB-28,PCB-52,PCBs,Paraquate,Pentacosano(C25),Pentadecano(C15),Pentatriacontano(C35),Picloram,Pireno,Potencial Redox,Potencial redox,Potássio Dissolvido,Potássio Total,Pristano(C19),Profenofós,Profundidade,Propargito,Protioconazol + ProticonazolDestio,Salinidade,Simazina,Sulfato,Sulfeto,Surfactantes Aniônicos,Sílica Dissolvido,Sódio Dissolvido,Sódio Total,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,TPH Faixa Diesel (C14-C20),TPH Faixa Gasolina (C8-C11),TPH Faixa Querosene (C11-C14),TPH Faixa Óleos Lubrificantes (C20-C40),TPH Totais,Tebuconazol,Temperatura Ambiente,Temperatura ar,Temperatura da água,Tempo,Terbufós,Tetracontano(C40),Tetracosano(C24),Tetradecano(C14),Tetratriacontano(C34),Tiametoxam,Tiodicarbe,Tiram,Titânio Total,Tolueno,Trans-Clordano,Transparência,Triacontano(C30),Tricosano(C23),Tridecano(C13),Trifluralina,Trihalometanos,Tritriacontano(C33),Turbidez,Undecano(C11),Vanádio Total,Vazão,Xilenos,Zinco,a-BHC,a-Endosulfan,b-BHC,b-Endosulfan,d-BHC (Lindano),g-BHC (Lindano),m+p-Xileno,"o,p-DDD","o,p-DDE","o,p-DDT",o-Xileno,"p,p-DDD","p,p-DDE","p,p-DDT","p,p-DDT+p,p-DDE+p,p-DDD",p-Terfenil-d14 (Surrogate),pH,Índice de Estado Trófico - IET,Índice de Qualidade das Águas - IQA,Óleos e Graxas,Última Chuva
01/01/2015,BJ002S,14/01/2015 12:01,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,<0.02,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,<0.3,,,,30.5,,3.00,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,,,,,,,,,,,,,,,,,,,,,,,,,<2.5,
01/01/2015,BJ010S,14/01/2015 06:01,,,,,,,,,"26,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,63.8,,,,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,51",,,,,,,,,"0,06","0,02",,,,,,,,,,,,,,,,,,,,,,,"0,06",,,,,,,,,,,,,"<0,02",,,,,,"1,8",,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,<1,,"<0,3",,,,"41,5",,<2,"42,0",,,,,,,,26.7,25.3,,,,,,,,,,,,,,,,,,,,"7,81",,,,,,,,,,,,,,,,,,,,,,7.17,,,"<2,5",
01/01/2015,BJ020S,14/01/2015 05:01,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,<0.025,,,,,,,,,,,,,0.63,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,<0.3,,,,36.0,,<2,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,,,,,,,,,,,,,N.A.,
01/01/2015,BJ020S,14/01/2015 06:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,27.3,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,,,,
01/01/2015,GF050S,16/01/2015 11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,,,,,67.0,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,38.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,,,,
01/01/2015,GF060S,16/01/2015 11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,36.0,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,32.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,,,,
01/01/2015,GF070S,16/01/2015 12:01,,,,,,,,,"21,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<0,89",,,,,,,,,,,,34,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,66",,,,,,,,,"0,02",,,,,,,,,,,,,,,,,,,,,,,"0,04",,,,,,,,,,,,,,"0,10",,,"0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,"50,0",,"5,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,28",,,,,,,,,,,,,,,,,,,,,,,,,"<2,5",
01/01/2015,GF080S,16/01/2015 12:01,,,,,,,,,"24,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,78",,,,,,,,,,,,26,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,29",,,,,,,,,"0,04",,,,,,,,,,,,,,,,,,,,,,,"<0,025",,,,,,,,,,,,,,"0,09",,,"<0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,"50,0",,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,66",,,,,,,,,,,,,,,,,,,,,,,,,"<2,5",
01/01/2015,JO01S,27/01/2015 01:01,,,,,,,,,"37,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.4,,,60,,,,,,,,,,,,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,26",,,,,,,,,"0,31",,,,,,,,,,,,,,,,,,,,,,,"0,22",,,,,,,,,,,,,,"0,06",,,"2,34",,,,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,,77.0,,,,,0.2,,,,,"12,1",,,,,,126,,"8,50",,,,,,,,,37.0,26.3,,,,,,,,,,,,,,,,,,,,"21,3",,,,,,,,,,,,,,,,,,,,,,6.98,,,"<2,5",
01/01/2015,JO030S,27/01/2015 12:01,,,,,,,,,"39,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5,,,60,,,,,,,,,,,,"4,29",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,31",,,,,,,,,"0,34",,,,,,,,,,,,,,,,,,,,,,,"0,23",,,,,,,,,,,,,,"0,10",,,"2,32",,,,,,,,,,,,,,,,,,,6.46,,,,,,,,,,,,,,,,,101.0,,,,,0.2,,,,,"14,7",,,,,,145,,"3,00",,,,,,,,,30.3,25.5,,,,,,,,,,,,,,,,,,,,"22,3",,,,,,,,,,,,,,,,,,,,,,6.75,,,"<2,5",
