Parâmetro,PONTO,DATA,UN.,RESULT.
Alcalinidade Total,CLA-01,2018-01-01,mg/L,16.0
Alumínio Dissolvido ,CLA-01,2018-01-01,mg/L,0.001
Cloreto Total ,CLA-01,2018-01-01,mg/L,5.12
Cobre Dissolvido ,CLA-01,2018-01-01,mg/L,0.093
Condutividade Elétrica,CLA-01,2018-01-01,μS/cm,25.0
Cor Verdadeira ,CLA-01,2018-01-01,UC,12.1
DBO ,CLA-01,2018-01-01,mg/L,
DQO,CLA-01,2018-01-01,mg/L,
Dureza Total ,CLA-01,2018-01-01,mg/L,16.0
Potássio Total ,CLA-01,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-01,2018-01-01,mg/L,0.1
Fósforo Total ,CLA-01,2018-01-01,mg/L,0.0
Manganês Total ,CLA-01,2018-01-01,mg/L,0.028
Nitrogênio Amoniacal ,CLA-01,2018-01-01,mg/L,
Nitrato ,CLA-01,2018-01-01,mg/L,0.0032
Nitrito ,CLA-01,2018-01-01,mg/L,0.001
Nitrogênio total,CLA-01,2018-01-01,mg/L,
Óleos e Graxas,CLA-01,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-01,2018-01-01,mg/L,5.0
pH,CLA-01,2018-01-01,mg/L,7.42
Sólidos Dissolvidos,CLA-01,2018-01-01,mg/L,12.0
Sulfato Total,CLA-01,2018-01-01,mg/L,15.35
Temperatura da Água,CLA-01,2018-01-01,°C,30.1
Transparência da Água,CLA-01,2018-01-01,m,
Turbidez,CLA-01,2018-01-01,NTU,17.38
Coliformes Totais,CLA-01,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-01,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-01,2018-01-01,μg/L,0.9
Alcalinidade Total,CLA-02,2018-01-01,mg/L,12.0
Alumínio Dissolvido ,CLA-02,2018-01-01,mg/L,0.009
Cloreto Total ,CLA-02,2018-01-01,mg/L,8.2
Cobre Dissolvido ,CLA-02,2018-01-01,mg/L,1.052
Condutividade Elétrica,CLA-02,2018-01-01,μS/cm,23.0
Cor Verdadeira ,CLA-02,2018-01-01,UC,3.8
DBO ,CLA-02,2018-01-01,mg/L,
DQO,CLA-02,2018-01-01,mg/L,
Dureza Total ,CLA-02,2018-01-01,mg/L,8.0
Potássio Total ,CLA-02,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-02,2018-01-01,mg/L,0.392
Fósforo Total ,CLA-02,2018-01-01,mg/L,1.59
Manganês Total ,CLA-02,2018-01-01,mg/L,0.035
Nitrogênio Amoniacal ,CLA-02,2018-01-01,mg/L,
Nitrato ,CLA-02,2018-01-01,mg/L,0.071
Nitrito ,CLA-02,2018-01-01,mg/L,0.004
Nitrogênio total,CLA-02,2018-01-01,mg/L,
Óleos e Graxas,CLA-02,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-02,2018-01-01,mg/L,5.1
pH,CLA-02,2018-01-01,mg/L,7.5
Sólidos Dissolvidos,CLA-02,2018-01-01,mg/L,11.0
Sulfato Total,CLA-02,2018-01-01,mg/L,14.48
Temperatura da Água,CLA-02,2018-01-01,°C,30.5
Transparência da Água,CLA-02,2018-01-01,m,
Turbidez,CLA-02,2018-01-01,NTU,17.23
Coliformes Totais,CLA-02,2018-01-01,NMP/100mL,4.0
Escherichia coli,CLA-02,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-02,2018-01-01,μg/L,1.3
Alcalinidade Total,CLA-03,2018-01-01,mg/L,16.0
Alumínio Dissolvido ,CLA-03,2018-01-01,mg/L,0.04
Cloreto Total ,CLA-03,2018-01-01,mg/L,31.2
Cobre Dissolvido ,CLA-03,2018-01-01,mg/L,0.847
Condutividade Elétrica,CLA-03,2018-01-01,μS/cm,17.0
Cor Verdadeira ,CLA-03,2018-01-01,UC,2.0
DBO ,CLA-03,2018-01-01,mg/L,
DQO,CLA-03,2018-01-01,mg/L,
Dureza Total ,CLA-03,2018-01-01,mg/L,12.0
Potássio Total ,CLA-03,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-03,2018-01-01,mg/L,0.46
Fósforo Total ,CLA-03,2018-01-01,mg/L,0.913
Manganês Total ,CLA-03,2018-01-01,mg/L,0.231
Nitrogênio Amoniacal ,CLA-03,2018-01-01,mg/L,
Nitrato ,CLA-03,2018-01-01,mg/L,0.106
Nitrito ,CLA-03,2018-01-01,mg/L,0.018
Nitrogênio total,CLA-03,2018-01-01,mg/L,
Óleos e Graxas,CLA-03,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-03,2018-01-01,mg/L,5.1
pH,CLA-03,2018-01-01,mg/L,7.1
Sólidos Dissolvidos,CLA-03,2018-01-01,mg/L,8.0
Sulfato Total,CLA-03,2018-01-01,mg/L,19.53
Temperatura da Água,CLA-03,2018-01-01,°C,30.2
Transparência da Água,CLA-03,2018-01-01,m,
Turbidez,CLA-03,2018-01-01,NTU,21.3
Coliformes Totais,CLA-03,2018-01-01,NMP/100mL,70.0
Escherichia coli,CLA-03,2018-01-01,NPM/100mL,2.6
Clorofila a,CLA-03,2018-01-01,μg/L,2.4
Alcalinidade Total,CLA-04,2018-01-01,mg/L,26.0
Alumínio Dissolvido ,CLA-04,2018-01-01,mg/L,0.022
Cloreto Total ,CLA-04,2018-01-01,mg/L,46.2
Cobre Dissolvido ,CLA-04,2018-01-01,mg/L,0.431
Condutividade Elétrica,CLA-04,2018-01-01,μS/cm,120.0
Cor Verdadeira ,CLA-04,2018-01-01,UC,4.2
DBO ,CLA-04,2018-01-01,mg/L,
DQO,CLA-04,2018-01-01,mg/L,
Dureza Total ,CLA-04,2018-01-01,mg/L,22.0
Potássio Total ,CLA-04,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-04,2018-01-01,mg/L,0.54
Fósforo Total ,CLA-04,2018-01-01,mg/L,1.21
Manganês Total ,CLA-04,2018-01-01,mg/L,0.2
Nitrogênio Amoniacal ,CLA-04,2018-01-01,mg/L,
Nitrato ,CLA-04,2018-01-01,mg/L,0.091
Nitrito ,CLA-04,2018-01-01,mg/L,0.006
Nitrogênio total,CLA-04,2018-01-01,mg/L,
Óleos e Graxas,CLA-04,2018-01-01,mg/L,0.0
Oxigênio Dissolvido,CLA-04,2018-01-01,mg/L,5.2
pH,CLA-04,2018-01-01,mg/L,6.62
Sólidos Dissolvidos,CLA-04,2018-01-01,mg/L,60.0
Sulfato Total,CLA-04,2018-01-01,mg/L,26.21
Temperatura da Água,CLA-04,2018-01-01,°C,26.2
Transparência da Água,CLA-04,2018-01-01,m,
Turbidez,CLA-04,2018-01-01,NTU,22.4
Coliformes Totais,CLA-04,2018-01-01,NMP/100mL,0.0
Escherichia coli,CLA-04,2018-01-01,NPM/100mL,0.0
Clorofila a,CLA-04,2018-01-01,μg/L,0.0
Alcalinidade Total,CLA-05,2018-01-01,mg/L,26.0
Alumínio Dissolvido ,CLA-05,2018-01-01,mg/L,0.0
Cloreto Total ,CLA-05,2018-01-01,mg/L,62.3
Cobre Dissolvido ,CLA-05,2018-01-01,mg/L,0.463
Condutividade Elétrica,CLA-05,2018-01-01,μS/cm,114.0
Cor Verdadeira ,CLA-05,2018-01-01,UC,6.8
DBO ,CLA-05,2018-01-01,mg/L,
DQO,CLA-05,2018-01-01,mg/L,
Dureza Total ,CLA-05,2018-01-01,mg/L,28.0
Potássio Total ,CLA-05,2018-01-01,mg/L,0.0
Ferro Dissolvido,CLA-05,2018-01-01,mg/L,3.407
Fósforo Total ,CLA-05,2018-01-01,mg/L,1.693
Manganês Total ,CLA-05,2018-01-01,mg/L,0.19
Nitrogênio Amoniacal ,CLA-05,2018-01-01,mg/L,
Nitrato ,CLA-05,2018-01-01,mg/L,0.195
Nitrito ,CLA-05,2018-01-01,mg/L,0.02
Nitrogênio total,CLA-05,2018-01-01,mg/L,
Óleos e Graxas,CLA-05,2018-01-01,mg/L,2.3
