"ponto","data","Condutividade_Eletrica","Oxigenio_dissolvido","Deficit_oxigenio_dissolvido","Temperatura_agua","Transparencia","Turbidez","pH","Profundidade","Clorofila_a","Fosforo_total","Nitrogenio_total","Solidos_suspensao","Alcalinidade_total","Nitrato_total","Demanda_bioquimica_oxigenio","Solidos_dissolvidos_totais","Potencial_redox","Manganes_total","Coliformes_termotolerantes","Cor_verdadeira","Ferro_dissolvido","Demanda_quimica_oxigenio","Oleos_Graxas","Densidade_cianobacterias","Solidos_totais","Indice_estado_trofico","Sulfeto","Sulfato_total","IQA ","Surfactantes"
"TM40F","4/29/2016","55.0","0.00","","25.9","","4.21","5.92","","","","","","","","","","","","","","","","","","","","","","",""
"TM40S","4/29/2016","68.0","6.04","","27.1","","4.12","7.63","","","","","","","","","","","","","","","","","","","","","","",""
"TM40ZF","4/29/2016","69.0","6.00","","27.1","","3.87","7.48","","","","","","","","","","","","","","","","","","","","","","",""
"TM45S","4/28/2016","59.0","5.90","","25.6","","65.90","7.50","","","","","","","","","","","","","","","","","","","","","","",""
"TM50S","4/28/2016","79.0","6.17","","24.9","","60.90","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM55S","4/28/2016","68.0","8.57","","25.0","","8.32","7.26","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","5/3/2016","66.0","6.08","","26.4","","4.22","7.47","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","5/3/2016","68.0","6.43","","27.2","","3.55","7.37","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","5/3/2016","67.0","5.76","","25.7","","4.09","6.62","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","5/3/2016","68.0","7.06","","25.6","","4.82","6.80","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","5/3/2016","67.0","7.95","","26.4","1.30","3.35","7.77","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","5/3/2016","67.0","7.86","","25.9","","4.60","7.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","5/3/2016","68.0","5.58","","25.2","","6.56","7.15","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","5/3/2016","60.0","5.95","","26.3","","7.19","8.44","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","5/3/2016","67.0","5.78","","26.2","","7.28","8.00","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","5/4/2016","68.0","6.10","","26.3","","7.46","7.60","","","","","","","","","","","","","","","","","","","","","","",""
"TM30S","5/4/2016","68.0","6.18","","26.2","","4.03","7.75","","","","","","","","","","","","","","","","","","","","","","",""
"TM30ZF","5/4/2016","68.0","6.18","","26.3","","8.01","7.70","","","","","","","","","","","","","","","","","","","","","","",""
"TM35F","5/4/2016","66.0","5.30","","26.3","","8.33","7.20","","","","","","","","","","","","","","","","","","","","","","",""
"TM35S","5/4/2016","65.0","5.61","","26.7","","8.29","7.65","","","","","","","","","","","","","","","","","","","","","","",""
"TM35ZF","5/4/2016","66.0","5.50","","26.6","","7.48","7.61","","","","","","","","","","","","","","","","","","","","","","",""
"TM10S","8/24/2016","86.0","6.70","","19.9","","11.10","8.31","","","","","","","","","","","","","","","","","","","","","","",""
"TM15F","8/25/2016","76.0","7.10","","25.5","","4.22","7.19","","","","","","","","","","","","","","","","","","","","","","",""
"TM15S","8/25/2016","77.0","8.06","","26.9","2.00","5.49","8.69","","","","","","","","","","","","","","","","","","","","","","",""
"TM15ZF","8/25/2016","77.0","8.01","","26.1","","5.98","8.09","","","","","","","","","","","","","","","","","","","","","","",""
"TM20F","8/25/2016","68.0","5.91","","24.2","","11.00","6.99","","","","","","","","","","","","","","","","","","","","","","",""
"TM20S","8/25/2016","71.0","6.53","","26.0","2.00","8.31","7.92","","","","","","","","","","","","","","","","","","","","","","",""
"TM20ZF","8/25/2016","71.0","6.49","","25.8","","10.40","7.38","","","","","","","","","","","","","","","","","","","","","","",""
"TM25F","8/25/2016","70.0","6.72","","25.9","","5.11","7.28","","","","","","","","","","","","","","","","","","","","","","",""
"TM25S","8/25/2016","71.0","7.11","","26.5","2.00","2.75","8.07","","","","","","","","","","","","","","","","","","","","","","",""
"TM25ZF","8/25/2016","70.0","6.97","","26.3","","7.48","7.97","","","","","","","","","","","","","","","","","","","","","","",""
"TM30F","8/24/2016","72.0","6.97","","26.1","","8.39","7.90","","","","","","","","","","","","","","","","","","","","","","",""
