"Sitio_cord","Zona","Ano","Mês","Dia","Sazonalidade","Turbidez"
"TM15","F","2022","junho","1","seca","2.28"
"TM15","ZF","2022","junho","1","seca","3.1"
"TM15","S","2022","junho","1","seca","4.17"
"TM15","S","2022","novembro","1","chuva","4.78"
"TM15","ZF","2022","novembro","1","chuva","5.47"
"TM15","F","2022","novembro","1","chuva","9.5"
"TM15","S","2023","fevereiro","16","chuva","10.1"
"TM15","ZF","2023","fevereiro","16","chuva","11.7"
"TM15","F","2023","fevereiro","16","chuva","56.5"
"TM15","S","2022","agosto","24","seca","278.6"
"TM15","ZF","2022","agosto","24","seca","280.1"
"TM15","F","2022","agosto","24","seca","307.9"
"TM15","S","2019","agosto","21","seca","1.03"
"TM15","ZF","2019","janeiro","20","seca","1.39"
"TM15","F","2019","janeiro","20","seca","1.77"
"TM15","S","2019","maio","22","seca","2.74"
"TM15","S","2018","agosto","23","seca","2.99"
"TM15","ZF","2021","maio","19","seca","3.06"
"TM15","F","2018","agosto","23","seca","3.21"
"TM15","F","2019","maio","22","seca","3.4"
"TM15","S","2021","agosto","25","seca","3.43"
"TM15","S","2016","maio","3","seca","3.55"
"TM15","S","2019","janeiro","20","seca","3.59"
"TM15","ZF","2016","maio","3","seca","4.09"
"TM15","ZF","2020","agosto","26","seca","4.1"
"TM15","S","2021","fevereiro","2","chuva","4.13"
"TM15","F","2016","maio","3","seca","4.22"
"TM15","F","2016","agosto","25","seca","4.22"
"TM15","ZF","2018","agosto","23","seca","4.3"
"TM15","F","2017","fevereiro","17","chuva","4.65"
"TM15","S","2019","fevereiro","28","chuva","4.65"
"TM15","ZF","2017","fevereiro","17","chuva","4.71"
"TM15","S","2018","maio","17","seca","4.78"
"TM15","ZF","2019","maio","22","seca","4.78"
"TM15","S","2020","agosto","26","seca","4.8"
"TM15","ZF","2021","fevereiro","2","chuva","4.91"
"TM15","F","2016","janeiro","9","seca","5.04"
"TM15","F","2018","maio","17","seca","5.07"
"TM15","ZF","2018","maio","17","seca","5.1"
"TM15","F","2021","agosto","25","seca","5.3"
"TM15","ZF","2019","fevereiro","28","chuva","5.45"
"TM15","S","2016","agosto","25","seca","5.49"
"TM15","S","2020","maio","7","seca","5.65"
"TM15","ZF","2016","agosto","25","seca","5.98"
"TM15","ZF","2020","maio","7","seca","6.16"
"TM15","S","2021","janeiro","30","seca","6.23"
"TM15","S","2020","fevereiro","19","chuva","6.34"
"TM15","F","2019","fevereiro","28","chuva","6.57"
"TM15","S","2016","janeiro","8","seca","6.91"
"TM15","ZF","2021","agosto","25","seca","6.92"
"TM15","ZF","2020","fevereiro","1","chuva","7.24"
"TM15","S","2020","fevereiro","1","chuva","7.59"
"TM15","ZF","2021","janeiro","30","seca","7.92"
"TM15","ZF","2020","fevereiro","19","chuva","8.02"
"TM15","ZF","2016","janeiro","9","seca","8.29"
"TM15","S","2017","fevereiro","17","chuva","8.48"
"TM15","F","2021","maio","19","seca","8.75"
"TM15","ZF","2018","marco","2","chuva","9.26"
"TM15","S","2018","janeiro","22","seca","9.3"
"TM15","S","2018","marco","2","chuva","10.1"
"TM15","ZF","2018","janeiro","22","seca","14.9"
"TM15","F","2021","janeiro","30","seca","20.1"
"TM15","F","2020","maio","7","seca","27"
"TM15","F","2018","janeiro","22","seca","29.8"
"TM15","F","2020","agosto","26","seca","42"
"TM15","F","2020","fevereiro","1","chuva","47.3"
"TM15","ZF","2022","fevereiro","23","chuva","66.7"
"TM15","F","2018","marco","2","chuva","74.5"
"TM15","F","2020","fevereiro","19","chuva","75.3"
"TM15","S","2022","fevereiro","23","chuva","75.6"
"TM15","F","2022","fevereiro","23","chuva","81.9"
"TM15","F","2021","fevereiro","2","chuva","104"
"TM15","F","2023","agosto","15","seca","5"
"TM15","PI","2023","agosto","15","seca","1.4"
"TM15","S","2023","agosto","15","seca","0.9"
"TM15","F","2023","maio","24","seca","2.9"
"TM15","PI","2023","maio","24","seca","2.1"
"TM15","S","2023","maio","24","seca","4"
"TM15","F","2023","dezembro","15","chuva","3.4"
"TM15","PI","2023","dezembro","15","chuva","23.3"
"TM20","S","2022","junho","1","seca","2.73"
"TM20","ZF","2022","junho","1","seca","3.14"
"TM20","F","2022","junho","1","seca","6.8"
"TM20","S","2022","novembro","1","chuva","26.5"
"TM20","ZF","2022","novembro","1","chuva","27.2"
"TM20","S","2023","fevereiro","16","chuva","38.7"
"TM20","ZF","2023","fevereiro","16","chuva","50.7"
"TM20","F","2022","novembro","1","chuva","52.22"
"TM20","F","2023","fevereiro","16","chuva","100"
"TM20","F","2022","agosto","24","seca","276.4"
"TM20","S","2022","agosto","24","seca","279.4"
"TM20","ZF","2022","agosto","24","seca","279.5"
"TM20","S","2019","agosto","21","seca","0.89"
"TM20","ZF","2019","janeiro","20","seca","2.73"
"TM20","S","2018","agosto","23","seca","3.21"
"TM20","S","2016","maio","3","seca","3.35"
"TM20","ZF","2018","agosto","23","seca","3.42"
"TM20","F","2018","maio","17","seca","3.43"
"TM20","S","2019","janeiro","20","seca","3.56"
"TM20","ZF","2018","maio","17","seca","3.57"
"TM20","ZF","2020","agosto","26","seca","3.79"
"TM20","S","2018","maio","17","seca","3.92"
"TM20","ZF","2019","maio","22","seca","3.99"
"TM20","ZF","2021","agosto","25","seca","4.08"
"TM20","F","2018","agosto","23","seca","4.23"
"TM20","ZF","2016","maio","3","seca","4.6"
"TM20","F","2016","maio","3","seca","4.82"
"TM20","F","2021","agosto","25","seca","5.03"
"TM20","ZF","2021","maio","19","seca","5.04"
"TM20","F","2019","maio","22","seca","5.15"
"TM20","ZF","2020","maio","7","seca","5.32"
"TM20","S","2019","fevereiro","28","chuva","5.53"
"TM20","ZF","2021","janeiro","30","seca","5.69"
"TM20","F","2019","janeiro","20","seca","6.07"
"TM20","F","2020","agosto","26","seca","6.18"
"TM20","S","2021","agosto","25","seca","6.22"
"TM20","S","2020","agosto","26","seca","6.3"
"TM20","S","2019","maio","22","seca","6.38"
"TM20","S","2020","maio","7","seca","6.6"
"TM20","S","2021","janeiro","30","seca","7.01"
"TM20","ZF","2019","fevereiro","28","chuva","8.19"
"TM20","S","2016","agosto","25","seca","8.31"
"TM20","ZF","2016","agosto","25","seca","10.4"
"TM20","S","2020","fevereiro","19","chuva","10.5"
"TM20","S","2021","fevereiro","2","chuva","10.7"
"TM20","F","2016","agosto","25","seca","11"
"TM20","ZF","2018","marco","2","chuva","13"
"TM20","ZF","2021","fevereiro","2","chuva","13.6"
"TM20","S","2018","marco","2","chuva","14.2"
"TM20","ZF","2022","fevereiro","23","chuva","21.6"
"TM20","F","2017","fevereiro","17","chuva","22.4"
"TM20","S","2022","fevereiro","23","chuva","22.4"
"TM20","ZF","2017","fevereiro","17","chuva","23.7"
"TM20","ZF","2016","janeiro","9","seca","26.6"
"TM20","S","2016","janeiro","9","seca","27.1"
"TM20","F","2016","janeiro","9","seca","28.2"
"TM20","S","2017","fevereiro","17","chuva","29.6"
"TM20","ZF","2020","fevereiro","19","chuva","31.4"
"TM20","F","2020","maio","7","seca","33.1"
"TM20","F","2021","fevereiro","2","chuva","33.6"
"TM20","F","2021","maio","19","seca","38.5"
"TM20","ZF","2020","fevereiro","1","chuva","48.6"
"TM20","S","2020","fevereiro","1","chuva","49.6"
"TM20","ZF","2018","janeiro","22","seca","50.7"
"TM20","S","2018","janeiro","22","seca","51.7"
"TM20","F","2018","janeiro","22","seca","60.2"
"TM20","F","2022","fevereiro","23","chuva","94.5"
"TM20","F","2018","marco","2","chuva","94.5"
"TM20","F","2020","fevereiro","1","chuva","101"
"TM20","F","2021","janeiro","30","seca","102"
"TM20","F","2019","fevereiro","28","chuva","118"
"TM20","F","2020","fevereiro","19","chuva","218"
"TM20","F","2023","agosto","15","seca","0.6"
"TM20","PI","2023","agosto","15","seca","2.6"
"TM20","S","2023","agosto","15","seca","2.1"
