ponto,data,Clorofila_a,Turbidez
TM40,4/29/2016,,4.12
TM45,4/28/2016,,65.90
TM50,4/28/2016,,60.90
TM55,4/28/2016,,8.32
TM15,5/3/2016,,3.55
TM20,5/3/2016,,3.35
TM25,5/3/2016,,7.19
TM30,5/4/2016,,4.03
TM35,5/4/2016,,8.29
TM10,8/24/2016,,11.10
TM15,8/25/2016,,5.49
TM20,8/25/2016,,8.31
TM25,8/25/2016,,2.75
TM30,8/24/2016,,6.20
TM35,8/25/2016,,3.40
TM40,8/23/2016,,1.79
TM45,8/23/2016,,46.40
TM50,8/23/2016,,6.19
TM55,8/23/2016,,4.55
TM10,11/10/2016,,25.70
TM15,11/8/2016,,6.91
TM20,11/9/2016,,27.10
TM25,11/9/2016,,7.43
TM30,11/8/2016,,7.69
TM35,11/9/2016,,3.93
TM40,11/8/2016,,2.76
TM45,11/8/2016,,6.21
TM50,11/8/2016,,6.64
TM55,11/8/2016,,53.90
TM10,2/17/2017,,44.10
TM15,2/17/2017,,8.48
TM20,2/17/2017,,29.60
TM25,2/17/2017,,9.64
TM30,2/16/2017,,3.71
TM35,2/16/2017,,5.18
TM40,2/16/2017,,6.60
TM45,2/14/2017,,39.00
TM50,2/14/2017,,62.90
TM55,2/14/2017,,745.00
TM35,2/28/2018,,5.54
TM40,2/27/2018,,3.19
TM45,2/28/2018,,44.10
TM50,2/28/2018,,43.20
TM10,3/2/2018,,349.00
TM15,3/2/2018,,10.10
TM20,3/2/2018,,14.20
TM25,3/2/2018,,4.98
TM30,3/1/2018,,6.61
TM55,3/1/2018,,2370.00
TM10,5/16/2018,,15.60
TM15,5/17/2018,,4.78
TM20,5/17/2018,,3.92
TM25,5/17/2018,,8.89
TM30,5/16/2018,,3.50
TM35,5/16/2018,,9.18
TM40,5/15/2018,,5.88
TM45,5/15/2018,,22.40
TM50,5/15/2018,,20.50
TM55,5/15/2018,,6.16
TM10,8/23/2018,,6.81
TM15,8/23/2018,,2.99
TM20,8/23/2018,,3.21
TM25,8/22/2018,,4.21
TM30,8/22/2018,,3.41
TM35,8/22/2018,,2.95
TM40,8/21/2018,,2.33
TM45,8/21/2018,,3.04
TM50,8/21/2018,,5.19
TM55,8/21/2018,,4.28
TM10,11/23/2018,,180.00
TM15,11/22/2018,,9.30
TM20,11/22/2018,,51.70
TM25,11/22/2018,,3.06
TM30,11/21/2018,,4.39
TM35,11/21/2018,,3.19
TM40,11/20/2018,,3.38
TM50,11/20/2018,,7.22
TM55,11/20/2018,,1970.00
TM15,2/28/2019,,4.65
TM20,2/28/2019,,5.53
TM25,2/28/2019,,4.46
TM30,2/27/2019,,4.02
TM35,2/27/2019,,2.10
TM40,2/27/2019,,2.13
TM45,2/26/2019,,14.30
TM50,2/26/2019,,15.10
TM55,2/26/2019,,442.00
TM10,3/1/2019,,211.00
TM10,5/23/2019,,117.00
TM15,5/22/2019,,2.74
TM20,5/22/2019,,6.38
TM25,5/22/2019,,4.47
TM30,5/22/2019,,3.10
TM35,5/21/2019,,6.86
TM40,5/21/2019,,2.92
TM45,5/21/2019,,20.90
TM50,5/21/2019,,24.50
TM55,5/21/2019,,896.00
TM10,8/20/2019,,3.78
TM15,8/21/2019,,1.03
TM20,8/21/2019,,0.89
TM25,8/21/2019,,1.60
TM30,8/22/2019,,1.61
TM35,8/22/2019,,0.53
TM40,8/22/2019,,0.82
TM45,8/20/2019,,1.99
TM50,8/20/2019,,1.75
TM55,8/20/2019,,5.23
TM10,11/19/2019,,38.90
TM15,11/20/2019,,3.59
TM20,11/20/2019,,3.56
TM25,11/20/2019,,3.23
