Ponto_de_coleta,Latitude,Longitude,Ano,Periodo,Clorofila_a_(µg_l)
M01,-18.223889,-45.261667,2000,23 Nov.,0004.46
M01,-18.223889,-45.261667,2000,23 Nov.,0000.23
M01,-18.223889,-45.261667,2001,11Jul.,0002.23
M01,-18.223889,-45.261667,2001,11Jul.,0001.95
M01,-18.223889,-45.261667,2001,31Out.,0001.39
M01,-18.223889,-45.261667,2001,31Out.,0000.28
M01,-18.223889,-45.261667,2002,15 Fev.,0003.35
M01,-18.223889,-45.261667,2002,15 Abr.,0002.23
M01,-18.223889,-45.261667,2002,16Jul.,0001.12
M01,-18.223889,-45.261667,2002,16Jul.,0000.42
M01,-18.223889,-45.261667,2003,17 Fev.,0000.84
M01,-18.223889,-45.261667,2003,17 Fev.,0002.23
M01,-18.223889,-45.261667,2003,l5 Mai.,0001.40
M01,-18.223889,-45.261667,2003,03 Dez.,0001.53
M01,-18.223889,-45.261667,2004,01Ju n.,0003.07
M01,-18.223889,-45.261667,2004,01Ju n.,0003.07
M01,-18.223889,-45.261667,2004,21Nov.,0002.39
M01,-18.223889,-45.261667,2004,21Nov.,0001.26
M01,-18.223889,-45.261667,2005,21 Fev.,0002.40
M01,-18.223889,-45.261667,2005,21 Fev.,0000.84
M01,-18.223889,-45.261667,2005,29Abr.,0002.23
M01,-18.223889,-45.261667,2005,29Abr.,0000.56
M01,-18.223889,-45.261667,2006,01Ju n.,0002.09
M01,-18.223889,-45.261667,2006,01Ju n.,0005.86
M01,-18.223889,-45.261667,2007,05 Mai.,0002.09
M01,-18.223889,-45.261667,2007,05 Mai.,0002.37
M01,-18.223889,-45.261667,2007,05 Jul.,0000.84
M01,-18.223889,-45.261667,2008,21Mai.,0000.67
M01,-18.223889,-45.261667,2008,11Nov.,0000.42
M01,-18.223889,-45.261667,2009,24 Ago.,0000.28
M01,-18.223889,-45.261667,2009,06 Nov.,0003.81
M01,-18.223889,-45.261667,2009,06 Nov.,0003.21
M01,-18.223889,-45.261667,2010,03 Fev.,0002.42
M01,-18.223889,-45.261667,2010,03 Fev.,0000.14
M01,-18.223889,-45.261667,2010,06 Mai.,0001.95
M01,-18.223889,-45.261667,2010,06 Mai.,0001.40
M01,-18.223889,-45.261667,2010,20 Out.,0001.67
M01,-18.223889,-45.261667,2010,20 Out.,0000.28
M01,-18.223889,-45.261667,2011,28 Fev.,0004.74
M01,-18.223889,-45.261667,2011,28 Fev.,0003.97
M01,-18.223889,-45.261667,2011,01Ju n.,0004.19
M01,-18.223889,-45.261667,2011,01Ju n.,0004.19
M01,-18.223889,-45.261667,2011,08 Ago.,0001.88
M01,-18.223889,-45.261667,2011,08 Ago.,0002.58
M01,-18.223889,-45.261667,2011,07 Nov.,0001.95
M01,-18.223889,-45.261667,2011,07 Nov.,0002.23
M01,-18.223889,-45.261667,2012,08 Mar.,0006.98
M01,-18.223889,-45.261667,2012,08 Mar.,0001.12
M01,-18.223889,-45.261667,2012,12 Ju n.,0002.51
M01,-18.223889,-45.261667,2012,12 Ju n.,0000.56
M01,-18.223889,-45.261667,2012,30 Jul.,0006.14
M01,-18.223889,-45.261667,2012,29 Out.,0000.84
M01,-18.223889,-45.261667,2012,29 Out.,0007.67
M01,-18.223889,-45.261667,2013,20 Mar.,0000.84
M01,-18.223889,-45.261667,2013,20 Mar.,0002.79
M01,-18.223889,-45.261667,2013,12 Jul.,0000.28
M01,-18.223889,-45.261667,2013,12 Jul.,0001.12
M01,-18.223889,-45.261667,2013,02 Out.,0007.00
M01,-18.223889,-45.261667,2013,04 Nov.,0000.52
M01,-18.223889,-45.261667,2014,22 Abr.,0001.40
M01,-18.223889,-45.261667,2014,22 Abr.,0000.28
M01,-18.223889,-45.261667,2014,05 Jun.,0001.67
M01,-18.223889,-45.261667,2014,05 Jun.,0000.84
M01,-18.223889,-45.261667,2014,07 Out.,0000.28
M01,-18.223889,-45.261667,2014,07 Out.,0000.28
M01,-18.223889,-45.261667,2014,20 Nov.,0001.40
M01,-18.223889,-45.261667,2014,20 Nov.,0000.28
M01,-18.223889,-45.261667,2015,10 Abr.,0017.02
M01,-18.223889,-45.261667,2015,29 Jun.,0000.25
M03,-18.572222,-45.260833,2002,16Abr.,0002.65
M03,-18.572222,-45.260833,2003,06 Fev.,0006.63
M03,-18.572222,-45.260833,2009,04 Jun.,0002.51
M03,-18.572222,-45.260833,2009,04 Jun.,0000.84
M03,-18.572222,-45.260833,2009,10 Nov.,0002.23
M03,-18.572222,-45.260833,2009,10 Nov.,0001.67
M03,-18.572222,-45.260833,2010,05 Mai.,0000.98
M03,-18.572222,-45.260833,2010,05 Mai.,0001.95
M03,-18.572222,-45.260833,2011,02 Jun.,0004.74
M03,-18.572222,-45.260833,2011,02 Jun.,0002.79
M03,-18.572222,-45.260833,2011,03 Nov.,0003.91
M03,-18.572222,-45.260833,2011,03 Nov.,0000.84
M03,-18.572222,-45.260833,2012,16 Jun.,0001.67
M03,-18.572222,-45.260833,2012,16 Jun.,0001.67
