"Object_ID","Latitude","Longitude","Data","Turbidez"
"PT05","7904165.900","522014.150","16/12/2020","7.020"
"PT05","7904165.900","522014.150","28/01/2021","43.600"
"PT05","7904165.900","522014.150","25/02/2021","73.100"
"PT05","7904165.900","522014.150","26/04/2021","1.680"
"PT05","7904165.900","522014.150","24/05/2021","4.650"
"PT05","7904165.900","522014.150","23/06/2021","6.72"
"PT05","7904165.900","522014.150","29/07/2021","77.700"
"PT05","7904165.900","522014.150","24/08/2021","5.410"
"PT05","7904165.900","522014.150","29/09/2021","12.000"
"PT05","7904165.900","522014.150","26/10/2021","46.400"
"PT06","7906056.830","522571.210","16/12/2020","6.220"
"PT06","7906056.830","522571.210","28/01/2021","74.300"
"PT06","7906056.830","522571.210","25/02/2021","40.300"
"PT06","7906056.830","522571.210","26/04/2021","2.300"
"PT06","7906056.830","522571.210","24/05/2021","4.310"
"PT06","7906056.830","522571.210","23/06/2021","3.88"
"PT06","7906056.830","522571.210","29/07/2021","12.800"
"PT06","7906056.830","522571.210","25/08/2021","2.760"
"PT06","7906056.830","522571.210","29/09/2021","2.840"
"PT06","7906056.830","522571.210","26/10/2021","11.100"
"PT07","7910213.550","522047.080","16/12/2020","4.460"
"PT07","7910213.550","522047.080","28/01/2021","40.100"
"PT07","7910213.550","522047.080","25/02/2021","36.400"
"PT07","7910213.550","522047.080","26/04/2021","2.550"
"PT07","7910213.550","522047.080","24/05/2021","2.110"
"PT07","7910213.550","522047.080","23/06/2021","1.25"
"PT07","7910213.550","522047.080","29/07/2021","1.620"
"PT07","7910213.550","522047.080","25/08/2021","7.850"
"PT07","7910213.550","522047.080","29/09/2021","4.320"
"PT07","7910213.550","522047.080","26/10/2021","4.690"
"PT09","7914662.250","509212.460","16/12/2020","29.300"
"PT09","7914662.250","509212.460","28/01/2021","70.800"
"PT09","7914662.250","509212.460","25/02/2021","84.800"
"PT09","7914662.250","509212.460","26/04/2021","4.940"
"PT09","7914662.250","509212.460","24/05/2021","2.140"
"PT09","7914662.250","509212.460","21/06/2021","2.07"
"PT09","7914662.250","509212.460","26/07/2021","5.300"
"PT09","7914662.250","509212.460","26/08/2021","9.900"
"PT09","7914662.250","509212.460","01/10/2021","6.610"
"PT09","7914662.250","509212.460","28/10/2021","3.330"
"PT10","7919420.350","502760.240","15/12/2020","5.090"
"PT10","7919420.350","502760.240","28/01/2021","54.700"
"PT10","7919420.350","502760.240","23/02/2021","14.400"
"PT10","7919420.350","502760.240","17/05/2021","16.200"
"PT10","7919420.350","502760.240","21/05/2021","2.890"
"PT10","7919420.350","502760.240","24/06/2021","2.3"
"PT10","7919420.350","502760.240","26/07/2021","7.030"
"PT10","7919420.350","502760.240","27/08/2021","1.380"
"PT10","7919420.350","502760.240","28/09/2021","5.670"
"PT10","7919420.350","502760.240","26/10/2021","14.400"
"PT11","7920301.190","498524.710","15/12/2020","11.100"
"PT11","7920301.190","498524.710","28/01/2021","13.000"
"PT11","7920301.190","498524.710","23/02/2021","5.930"
"PT11","7920301.190","498524.710","17/05/2021","9.130"
"PT11","7920301.190","498524.710","24/05/2021","1.640"
"PT11","7920301.190","498524.710","24/06/2021","2.04"
"PT11","7920301.190","498524.710","26/07/2021","4.350"
"PT11","7920301.190","498524.710","27/08/2021","2.630"
"PT11","7920301.190","498524.710","28/09/2021","13.700"
"PT11","7920301.190","498524.710","27/10/2021","8.780"
"PT12","7916154.560","491944.140","16/12/2020","0.650"
"PT12","7916154.560","491944.140","26/01/2021","14.200"
"PT12","7916154.560","491944.140","23/02/2021","3.060"
"PT12","7916154.560","491944.140","27/04/2021","9.080"
"PT12","7916154.560","491944.140","21/05/2021","2.410"
"PT12","7916154.560","491944.140","25/06/2021","3.9"
"PT12","7916154.560","491944.140","27/07/2021","2.570"
"PT12","7916154.560","491944.140","27/08/2021","5.460"
"PT12","7916154.560","491944.140","29/09/2021","5.930"
"PT12","7916154.560","491944.140","27/10/2021","10.500"
"PT13","7920522.780","479143.610","18/12/2020","19.000"
"PT13","7920522.780","479143.610","25/01/2021","6.810"
"PT13","7920522.780","479143.610","22/02/2021","16.200"
"PT13","7920522.780","479143.610","27/04/2021","3.220"
"PT13","7920522.780","479143.610","25/05/2021","8.710"
"PT13","7920522.780","479143.610","24/06/2021","1.45"
"PT13","7920522.780","479143.610","28/07/2021","16.600"
"PT13","7920522.780","479143.610","30/08/2021","93.400"
"PT13","7920522.780","479143.610","29/09/2021","20.800"
"PT13","7920522.780","479143.610","01/11/2021","6.420"
"PT14","7928498.290","480988.390","15/12/2020","136.000"
"PT14","7928498.290","480988.390","26/01/2021","5.890"
"PT14","7928498.290","480988.390","23/02/2021","7.890"
"PT14","7928498.290","480988.390","27/04/2021","2.440"
"PT14","7928498.290","480988.390","21/05/2021","6.980"
"PT14","7928498.290","480988.390","24/06/2021","1.89"
"PT14","7928498.290","480988.390","27/07/2021","1.430"
"PT14","7928498.290","480988.390","30/08/2021","9.070"
"PT14","7928498.290","480988.390","29/09/2021","13.900"
"PT14","7928498.290","480988.390","01/11/2021","2.320"
"PT15","7939786.640","475009.230","15/12/2020","19.500"
"PT15","7939786.640","475009.230","26/01/2021","7.800"
"PT15","7939786.640","475009.230","23/02/2021","3.390"
"PT15","7939786.640","475009.230","27/04/2021","5.240"
"PT15","7939786.640","475009.230","21/05/2021","2.530"
"PT15","7939786.640","475009.230","23/06/2021","32.4"
"PT15","7939786.640","475009.230","27/07/2021","1.140"
"PT15","7939786.640","475009.230","30/08/2021","12.500"
"PT15","7939786.640","475009.230","29/09/2021","13.200"
"PT15","7939786.640","475009.230","27/10/2021","3.000"
"PT16","7939734.940","476414.380","15/12/2020","2.670"
"PT16","7939734.940","476414.380","26/01/2021","63.200"
"PT16","7939734.940","476414.380","23/02/2021","2.820"
"PT16","7939734.940","476414.380","27/04/2021","6.430"
"PT16","7939734.940","476414.380","21/05/2021","2.100"
"PT16","7939734.940","476414.380","23/06/2021","4.43"
"PT16","7939734.940","476414.380","27/07/2021","1.840"
"PT16","7939734.940","476414.380","30/08/2021","30.300"
"PT16","7939734.940","476414.380","29/09/2021","5.620"
"PT16","7939734.940","476414.380","27/10/2021","163.000"
"PT17","7952626.810","470260.230","18/12/2020","4.210"
"PT17","7952626.810","470260.230","25/01/2021","7.090"
"PT17","7952626.810","470260.230","22/02/2021","13.400"
"PT17","7952626.810","470260.230","18/05/2021","16.500"
"PT17","7952626.810","470260.230","25/05/2021","8.720"
"PT17","7952626.810","470260.230","28/06/2021","2.19"
"PT17","7952626.810","470260.230","28/07/2021","4.860"
"PT17","7952626.810","470260.230","30/08/2021","6.120"
"PT17","7952626.810","470260.230","01/10/2021","20.400"
"PT17","7952626.810","470260.230","28/10/2021","44.800"
"PT18","7957785.090","459198.590","18/12/2020","29.600"
"PT18","7957785.090","459198.590","25/01/2021","3.660"
"PT18","7957785.090","459198.590","22/02/2021","46.000"
"PT18","7957785.090","459198.590","18/05/2021","28.100"
"PT18","7957785.090","459198.590","25/05/2021","2.420"
"PT18","7957785.090","459198.590","28/06/2021","1.85"
"PT18","7957785.090","459198.590","28/07/2021","2.480"
"PT18","7957785.090","459198.590","02/09/2021","2.030"
"PT18","7957785.090","459198.590","01/10/2021","27.400"
"PT18","7957785.090","459198.590","28/10/2021","2.700"
"PT19","7983895.130","474307.810","15/12/2020","8.790"
"PT19","7983895.130","474307.810","26/01/2021","3.480"
"PT19","7983895.130","474307.810","23/02/2021","5.040"
"PT19","7983895.130","474307.810","29/04/2021","39.300"
"PT19","7983895.130","474307.810","21/05/2021","1.580"
"PT19","7983895.130","474307.810","25/06/2021","0.82"
"PT19","7983895.130","474307.810","26/07/2021","1.620"
"PT19","7983895.130","474307.810","03/09/2021","8.580"
"PT19","7983895.130","474307.810","28/09/2021","1.630"
"PT19","7983895.130","474307.810","27/10/2021","46.800"
