sitio_cod,zona,ano,mes,dia,paramet,unidade,result
AN010,S,2022,outubro,19.0,clorofila a,µg/l,2.14
AN010,S,2023,abril,27.0,clorofila a,µg/l,2.14
AN010,S,2022,outubro,19.0,turbidez,ntu,29.4
AN010,S,2023,abril,27.0,turbidez,ntu,101
AN010,S,2015,abril,14.0,clorofila a,,1.07
AN010,S,2018,abril,10.0,clorofila a,,1.07
AN010,S,2019,abril,24.0,clorofila a,,1.07
AN010,S,2020,abril,2.0,clorofila a,,1.07
AN010,S,2021,abril,13.0,clorofila a,,1.07
AN010,S,2022,abril,19.0,clorofila a,,1.07
AN010,S,2015,fevereiro,29.0,clorofila a,,1.07
AN010,S,2016,fevereiro,4.0,clorofila a,,1.07
AN010,S,2018,fevereiro,23.0,clorofila a,,1.07
AN010,S,2019,fevereiro,22.0,clorofila a,,1.07
AN010,S,2021,fevereiro,5.0,clorofila a,,1.07
AN010,S,2016,abril,27.0,clorofila a,,2.67
AN010,S,2020,fevereiro,20.0,clorofila a,,5.34
AN010,S,2019,fevereiro,22.0,turbidez,ntu,10
AN010,S,2021,fevereiro,5.0,turbidez,ntu,12.2
AN010,S,2015,fevereiro,29.0,turbidez,ntu,15.3
AN010,S,2020,fevereiro,20.0,turbidez,ntu,15.8
AN010,S,2016,abril,27.0,turbidez,ntu,18.6
AN010,S,2014,fevereiro,2.0,turbidez,ntu,22.5
AN010,S,2016,fevereiro,4.0,turbidez,ntu,26.8
AN010,S,2021,abril,13.0,turbidez,ntu,28.1
AN010,S,2018,fevereiro,23.0,turbidez,ntu,31.2
AN010,S,2022,abril,19.0,turbidez,ntu,31.5
AN010,S,2015,abril,14.0,turbidez,ntu,32.2
AN010,S,2018,abril,10.0,turbidez,ntu,39.8
AN010,S,2019,abril,24.0,turbidez,ntu,43.7
AN010,S,2020,abril,2.0,turbidez,ntu,128
AN010,S,2023,outubro,19.0,clorofila a,µg/l,2.14
AN010,S,2023,outubro,19.0,turbidez ,ntu,31.3
AN020,S,2023,abril,27.0,clorofila a,µg/l,1.07
AN020,S,2022,outubro,19.0,clorofila a,µg/l,2.14
AN020,S,2022,outubro,19.0,turbidez,ntu,34.8
AN020,S,2023,abril,27.0,turbidez,ntu,145
AN020,S,2015,abril,14.0,clorofila a,,1.07
AN020,S,2018,abril,10.0,clorofila a,,1.07
AN020,S,2019,abril,24.0,clorofila a,,1.07
AN020,S,2020,abril,2.0,clorofila a,,1.07
AN020,S,2021,abril,13.0,clorofila a,,1.07
AN020,S,2022,abril,19.0,clorofila a,,1.07
AN020,S,2015,fevereiro,29.0,clorofila a,,1.07
AN020,S,2016,fevereiro,4.0,clorofila a,,1.07
