latitude,longitude,turbidez,clorofila,data
-18.22376,-45.26183,4.12,,2016-04-29
-18.88812,-45.20045,3.55,,2016-05-03
-18.89833,-45.12083,3.35,,2016-05-03
-18.8325,-45.13306,7.19,,2016-05-03
-18.57222,-45.26083,4.03,,2016-05-04
-18.48928,-45.42733,8.29,,2016-05-04
-18.88812,-45.20045,5.49,,2016-08-25
-18.89833,-45.12083,8.31,,2016-08-25
-18.8325,-45.13306,2.75,,2016-08-25
-18.57222,-45.26083,6.2,,2016-08-24
-18.48928,-45.42733,3.4,,2016-08-25
-18.22376,-45.26183,1.79,,2016-08-23
-18.88812,-45.20045,6.91,,2016-11-08
-18.89833,-45.12083,27.1,,2016-11-09
-18.8325,-45.13306,7.43,,2016-11-09
-18.57222,-45.26083,7.69,,2016-11-08
-18.48928,-45.42733,3.93,,2016-11-09
-18.22376,-45.26183,2.76,,2016-11-08
-18.88812,-45.20045,8.48,,2017-02-17
-18.89833,-45.12083,29.6,,2017-02-17
-18.8325,-45.13306,9.64,,2017-02-17
-18.57222,-45.26083,3.71,,2017-02-16
-18.48928,-45.42733,5.18,,2017-02-16
-18.22376,-45.26183,6.6,,2017-02-16
-18.48928,-45.42733,5.54,,2018-02-28
-18.22376,-45.26183,3.19,,2018-02-27
-18.88812,-45.20045,10.1,,2018-03-02
-18.89833,-45.12083,14.2,,2018-03-02
-18.8325,-45.13306,4.98,,2018-03-02
-18.57222,-45.26083,6.61,,2018-03-01
-18.88812,-45.20045,4.78,,2018-05-17
-18.89833,-45.12083,3.92,,2018-05-17
-18.8325,-45.13306,8.89,,2018-05-17
-18.57222,-45.26083,3.5,,2018-05-16
-18.48928,-45.42733,9.18,,2018-05-16
-18.22376,-45.26183,5.88,,2018-05-15
-18.88812,-45.20045,2.99,,2018-08-23
-18.89833,-45.12083,3.21,,2018-08-23
-18.8325,-45.13306,4.21,,2018-08-22
-18.57222,-45.26083,3.41,,2018-08-22
-18.48928,-45.42733,2.95,,2018-08-22
-18.22376,-45.26183,2.33,,2018-08-21
-18.88812,-45.20045,9.3,,2018-11-22
-18.89833,-45.12083,51.7,,2018-11-22
-18.8325,-45.13306,3.06,,2018-11-22
-18.57222,-45.26083,4.39,,2018-11-21
-18.48928,-45.42733,3.19,,2018-11-21
-18.22376,-45.26183,3.38,,2018-11-20
-18.88812,-45.20045,4.65,,2019-02-28
-18.89833,-45.12083,5.53,,2019-02-28
-18.8325,-45.13306,4.46,,2019-02-28
-18.57222,-45.26083,4.02,,2019-02-27
-18.48928,-45.42733,2.1,,2019-02-27
-18.22376,-45.26183,2.13,,2019-02-27
-18.88812,-45.20045,2.74,,2019-05-22
-18.89833,-45.12083,6.38,,2019-05-22
-18.8325,-45.13306,4.47,,2019-05-22
-18.57222,-45.26083,3.1,,2019-05-22
-18.48928,-45.42733,6.86,,2019-05-21
-18.22376,-45.26183,2.92,,2019-05-21
-18.88812,-45.20045,1.03,,2019-08-21
-18.89833,-45.12083,0.89,,2019-08-21
-18.8325,-45.13306,1.6,,2019-08-21
-18.57222,-45.26083,1.61,,2019-08-22
-18.48928,-45.42733,0.53,,2019-08-22
-18.22376,-45.26183,0.82,,2019-08-22
-18.88812,-45.20045,3.59,,2019-11-20
-18.89833,-45.12083,3.56,,2019-11-20
-18.8325,-45.13306,3.23,,2019-11-20
-18.57222,-45.26083,9.08,,2019-11-21
-18.48928,-45.42733,7.81,,2019-11-21
-18.22376,-45.26183,1.08,,2019-11-20
-18.88812,-45.20045,6.34,,2020-02-19
-18.89833,-45.12083,10.5,,2020-02-19
-18.8325,-45.13306,3.53,,2020-02-19
-18.57222,-45.26083,3.08,,2020-02-20
-18.48928,-45.42733,1.3,,2020-02-20
-18.22376,-45.26183,2.3,,2020-02-21
-18.88812,-45.20045,5.65,,2020-05-07
-18.89833,-45.12083,6.6,,2020-05-07
-18.8325,-45.13306,6.73,,2020-05-07
-18.57222,-45.26083,5.1,,2020-05-06
-18.48928,-45.42733,3.78,,2020-05-06
-18.22376,-45.26183,3.99,,2020-05-06
