ponto,data,Clorofila_a,Turbidez,Latitude,Longitude
TM40,29/04/2016,,4.12,-18.22376,-45.26183
TM15,03/05/2016,,3.55,-18.88812,-45.20045
TM20,03/05/2016,,3.35,-18.89833,-45.12083
TM25,03/05/2016,,7.19,-18.8325,-45.13306
TM30,04/05/2016,,4.03,-18.57222,-45.26083
TM35,04/05/2016,,8.29,-18.48928,-45.42733
TM15,25/08/2016,,5.49,-18.88812,-45.20045
TM20,25/08/2016,,8.31,-18.89833,-45.12083
TM25,25/08/2016,,2.75,-18.8325,-45.13306
TM30,24/08/2016,,6.2,-18.57222,-45.26083
TM35,25/08/2016,,3.4,-18.48928,-45.42733
TM40,23/08/2016,,1.79,-18.22376,-45.26183
TM15,08/11/2016,,6.91,-18.88812,-45.20045
TM20,09/11/2016,,27.1,-18.89833,-45.12083
TM25,09/11/2016,,7.43,-18.8325,-45.13306
TM30,08/11/2016,,7.69,-18.57222,-45.26083
TM35,09/11/2016,,3.93,-18.48928,-45.42733
TM40,08/11/2016,,2.76,-18.22376,-45.26183
TM15,17/02/2017,,8.48,-18.88812,-45.20045
TM20,17/02/2017,,29.6,-18.89833,-45.12083
TM25,17/02/2017,,9.64,-18.8325,-45.13306
TM30,16/02/2017,,3.71,-18.57222,-45.26083
TM35,16/02/2017,,5.18,-18.48928,-45.42733
TM40,16/02/2017,,6.6,-18.22376,-45.26183
TM35,28/02/2018,,5.54,-18.48928,-45.42733
TM40,27/02/2018,,3.19,-18.22376,-45.26183
TM15,02/03/2018,,10.1,-18.88812,-45.20045
TM20,02/03/2018,,14.2,-18.89833,-45.12083
TM25,02/03/2018,,4.98,-18.8325,-45.13306
TM30,01/03/2018,,6.61,-18.57222,-45.26083
TM15,17/05/2018,,4.78,-18.88812,-45.20045
TM20,17/05/2018,,3.92,-18.89833,-45.12083
TM25,17/05/2018,,8.89,-18.8325,-45.13306
TM30,16/05/2018,,3.5,-18.57222,-45.26083
TM35,16/05/2018,,9.18,-18.48928,-45.42733
TM40,15/05/2018,,5.88,-18.22376,-45.26183
TM15,23/08/2018,,2.99,-18.88812,-45.20045
TM20,23/08/2018,,3.21,-18.89833,-45.12083
TM25,22/08/2018,,4.21,-18.8325,-45.13306
TM30,22/08/2018,,3.41,-18.57222,-45.26083
TM35,22/08/2018,,2.95,-18.48928,-45.42733
TM40,21/08/2018,,2.33,-18.22376,-45.26183
TM15,22/11/2018,,9.3,-18.88812,-45.20045
TM20,22/11/2018,,51.7,-18.89833,-45.12083
TM25,22/11/2018,,3.06,-18.8325,-45.13306
TM30,21/11/2018,,4.39,-18.57222,-45.26083
TM35,21/11/2018,,3.19,-18.48928,-45.42733
TM40,20/11/2018,,3.38,-18.22376,-45.26183
TM15,28/02/2019,,4.65,-18.88812,-45.20045
TM20,28/02/2019,,5.53,-18.89833,-45.12083
TM25,28/02/2019,,4.46,-18.8325,-45.13306
TM30,27/02/2019,,4.02,-18.57222,-45.26083
TM35,27/02/2019,,2.1,-18.48928,-45.42733
TM40,27/02/2019,,2.13,-18.22376,-45.26183
TM15,22/05/2019,,2.74,-18.88812,-45.20045
TM20,22/05/2019,,6.38,-18.89833,-45.12083
TM25,22/05/2019,,4.47,-18.8325,-45.13306
TM30,22/05/2019,,3.1,-18.57222,-45.26083
TM35,21/05/2019,,6.86,-18.48928,-45.42733
TM40,21/05/2019,,2.92,-18.22376,-45.26183
TM15,21/08/2019,,1.03,-18.88812,-45.20045
TM20,21/08/2019,,0.89,-18.89833,-45.12083
TM25,21/08/2019,,1.6,-18.8325,-45.13306
TM30,22/08/2019,,1.61,-18.57222,-45.26083
TM35,22/08/2019,,0.53,-18.48928,-45.42733
TM40,22/08/2019,,0.82,-18.22376,-45.26183
TM15,20/11/2019,,3.59,-18.88812,-45.20045
TM20,20/11/2019,,3.56,-18.89833,-45.12083
TM25,20/11/2019,,3.23,-18.8325,-45.13306
TM30,21/11/2019,,9.08,-18.57222,-45.26083
TM35,21/11/2019,,7.81,-18.48928,-45.42733
TM40,20/11/2019,,1.08,-18.22376,-45.26183
TM15,19/02/2020,,6.34,-18.88812,-45.20045
TM20,19/02/2020,,10.5,-18.89833,-45.12083
TM25,19/02/2020,,3.53,-18.8325,-45.13306
TM30,20/02/2020,,3.08,-18.57222,-45.26083
TM35,20/02/2020,,1.3,-18.48928,-45.42733
TM40,21/02/2020,,2.3,-18.22376,-45.26183
TM15,07/05/2020,,5.65,-18.88812,-45.20045
TM20,07/05/2020,,6.6,-18.89833,-45.12083
TM25,07/05/2020,,6.73,-18.8325,-45.13306
TM30,06/05/2020,,5.1,-18.57222,-45.26083
TM35,06/05/2020,,3.78,-18.48928,-45.42733
TM40,06/05/2020,,3.99,-18.22376,-45.26183
TM40,29/04/2016,1.07,,-18.22376,-45.26183
TM25,03/05/2016,1.07,,-18.8325,-45.13306
TM20,03/05/2016,1.07,,-18.89833,-45.12083
TM15,03/05/2016,1.07,,-18.88812,-45.20045
TM30,04/05/2016,1.07,,-18.57222,-45.26083
