Ponto_de_coleta,Latitude,Longitude,Data,Clorofila_a_(µg_l)
M01,-18.223889,-45.261667,23/11/2000,0004.46
M01,-18.223889,-45.261667,23/11/2000,0000.23
M01,-18.223889,-45.261667,11/07/2001,0002.23
M01,-18.223889,-45.261667,11/07/2001,0001.95
M01,-18.223889,-45.261667,31/10/2001,0001.39
M01,-18.223889,-45.261667,31/10/2001,0000.28
M01,-18.223889,-45.261667,15/02/2002,0003.35
M01,-18.223889,-45.261667,15/04/2002,0002.23
M01,-18.223889,-45.261667,16/07/2002,0001.12
M01,-18.223889,-45.261667,16/07/2002,0000.42
M01,-18.223889,-45.261667,17/02/2003,0000.84
M01,-18.223889,-45.261667,17/02/2003,0002.23
M01,-18.223889,-45.261667,05/05/2003,0001.40
M01,-18.223889,-45.261667,03/12/2003,0001.53
M01,-18.223889,-45.261667,01/06/2004,0003.07
M01,-18.223889,-45.261667,01/06/2004,0003.07
M01,-18.223889,-45.261667,21/11/2004,0002.39
M01,-18.223889,-45.261667,21/11/2004,0001.26
M01,-18.223889,-45.261667,21/02/2005,0002.40
M01,-18.223889,-45.261667,21/02/2005,0000.84
M01,-18.223889,-45.261667,29/04/2005,0002.23
M01,-18.223889,-45.261667,29/04/2005,0000.56
M01,-18.223889,-45.261667,01/06/2006,0002.09
M01,-18.223889,-45.261667,01/06/2006,0005.86
M01,-18.223889,-45.261667,05/05/2007,0002.09
M01,-18.223889,-45.261667,05/05/2007,0002.37
M01,-18.223889,-45.261667,05/07/2007,0000.84
M01,-18.223889,-45.261667,21/05/2008,0000.67
M01,-18.223889,-45.261667,11/11/2008,0000.42
M01,-18.223889,-45.261667,24/08/2009,0000.28
M01,-18.223889,-45.261667,06/11/2009,0003.81
M01,-18.223889,-45.261667,06/11/2009,0003.21
M01,-18.223889,-45.261667,03/02/2010,0002.42
M01,-18.223889,-45.261667,03/02/2010,0000.14
M01,-18.223889,-45.261667,06/05/2010,0001.95
M01,-18.223889,-45.261667,06/05/2010,0001.40
M01,-18.223889,-45.261667,20/10/2010,0001.67
M01,-18.223889,-45.261667,20/10/2010,0000.28
M01,-18.223889,-45.261667,28/02/2011,0004.74
M01,-18.223889,-45.261667,28/02/2011,0003.97
M01,-18.223889,-45.261667,01/06/2011,0004.19
M01,-18.223889,-45.261667,01/06/2011,0004.19
M01,-18.223889,-45.261667,08/08/2011,0001.88
M01,-18.223889,-45.261667,08/08/2011,0002.58
M01,-18.223889,-45.261667,07/11/2011,0001.95
M01,-18.223889,-45.261667,07/11/2011,0002.23
M01,-18.223889,-45.261667,08/03/2012,0006.98
M01,-18.223889,-45.261667,08/03/2012,0001.12
M01,-18.223889,-45.261667,12/06/2012,0002.51
M01,-18.223889,-45.261667,12/06/2012,0000.56
M01,-18.223889,-45.261667,30/07/2012,0006.14
M01,-18.223889,-45.261667,29/10/2012,0000.84
M01,-18.223889,-45.261667,29/10/2012,0007.67
M01,-18.223889,-45.261667,20/03/2013,0000.84
M01,-18.223889,-45.261667,20/03/2013,0002.79
M01,-18.223889,-45.261667,12/07/2013,0000.28
M01,-18.223889,-45.261667,12/07/2013,0001.12
M01,-18.223889,-45.261667,02/10/2013,0007.00
M01,-18.223889,-45.261667,04/11/2013,0000.52
M01,-18.223889,-45.261667,22/04/2014,0001.40
M01,-18.223889,-45.261667,22/04/2014,0000.28
M01,-18.223889,-45.261667,05/06/2014,0001.67
M01,-18.223889,-45.261667,05/06/2014,0000.84
M01,-18.223889,-45.261667,07/10/2014,0000.28
M01,-18.223889,-45.261667,07/10/2014,0000.28
M01,-18.223889,-45.261667,20/11/2014,0001.40
M01,-18.223889,-45.261667,20/11/2014,0000.28
M01,-18.223889,-45.261667,10/04/2015,0017.02
M01,-18.223889,-45.261667,29/06/2015,0000.25
M03,-18.572222,-45.260833,16/04/2002,0002.65
M03,-18.572222,-45.260833,06/02/2003,0006.63
M03,-18.572222,-45.260833,04/06/2009,0002.51
M03,-18.572222,-45.260833,04/06/2009,0000.84
M03,-18.572222,-45.260833,10/11/2009,0002.23
M03,-18.572222,-45.260833,10/11/2009,0001.67
M03,-18.572222,-45.260833,05/05/2010,0000.98
M03,-18.572222,-45.260833,05/05/2010,0001.95
M03,-18.572222,-45.260833,02/06/2011,0004.74
M03,-18.572222,-45.260833,02/06/2011,0002.79
M03,-18.572222,-45.260833,03/11/2011,0003.91
M03,-18.572222,-45.260833,03/11/2011,0000.84
M03,-18.572222,-45.260833,16/06/2012,0001.67
M03,-18.572222,-45.260833,16/06/2012,0001.67
M03,-18.572222,-45.260833,07/11/2012,0002.51
M03,-18.572222,-45.260833,07/11/2012,0000.56
M03,-18.572222,-45.260833,16/06/2013,0000.60
M03,-18.572222,-45.260833,16/06/2013,0000.51
M03,-18.572222,-45.260833,04/06/2014,0015.62
M03,-18.572222,-45.260833,04/06/2014,0003.91
M03,-18.572222,-45.260833,06/01/2015,0005.02
M03,-18.572222,-45.260833,06/01/2015,0000.70
M03,-18.572222,-45.260833,24/07/2015,0001.81
M03,-18.572222,-45.260833,24/07/2015,0001.12
M05,-18.898333,-45.120833,17/04/2002,0000.35
M05,-18.898333,-45.120833,17/04/2002,0000.70
M05,-18.898333,-45.120833,04/02/2003,0004.19
M05,-18.898333,-45.120833,05/06/2009,0003.21
M05,-18.898333,-45.120833,05/06/2009,0002.93
M05,-18.898333,-45.120833,27/11/2009,0004.19
M05,-18.898333,-45.120833,07/05/2010,0003.07
M05,-18.898333,-45.120833,07/05/2010,0003.35
M05,-18.898333,-45.120833,03/06/2011,0002.23
M05,-18.898333,-45.120833,03/06/2011,0000.84
M05,-18.898333,-45.120833,08/11/2011,0002.23
M05,-18.898333,-45.120833,08/11/2011,0000.84
M05,-18.898333,-45.120833,18/06/2012,0003.63
M05,-18.898333,-45.120833,18/06/2012,0003.35
M05,-18.898333,-45.120833,08/11/2012,0003.63
M05,-18.898333,-45.120833,08/11/2012,0001.95
M05,-18.898333,-45.120833,08/06/2013,0003.02
M05,-18.898333,-45.120833,08/06/2013,0001.63
M05,-18.898333,-45.120833,16/06/2014,0000.28
M05,-18.898333,-45.120833,16/06/2014,0001.67
M05,-18.898333,-45.120833,27/01/2015,0001.95
M05,-18.898333,-45.120833,27/01/2015,0000.17
M05,-18.898333,-45.120833,28/07/2015,0000.98
M05,-18.898333,-45.120833,28/07/2015,0000.70
M06,-18.832500,-45.133056,17/04/2002,0001.40
M06,-18.832500,-45.133056,04/02/2003,0002.23
M06,-18.832500,-45.133056,05/06/2009,0003.21
M06,-18.832500,-45.133056,05/06/2009,0001.26
M06,-18.832500,-45.133056,27/11/2009,0005.86
M06,-18.832500,-45.133056,07/05/2010,0007.53
M06,-18.832500,-45.133056,07/05/2010,0004.18
M06,-18.832500,-45.133056,03/06/2011,0000.84
M06,-18.832500,-45.133056,03/06/2011,0001.39
M06,-18.832500,-45.133056,08/11/2011,0003.35
M06,-18.832500,-45.133056,08/11/2011,0001.12
M06,-18.832500,-45.133056,18/06/2012,0003.91
M06,-18.832500,-45.133056,18/06/2012,0001.40
M06,-18.832500,-45.133056,08/11/2012,0004.46
