Object_ID,Latitude,Longitude,Data,Turbidez
PT05,-18.954852,-44.790712,16/12/2020,7.02
PT05,-18.954852,-44.790712,28/01/2021,43.6
PT05,-18.954852,-44.790712,25/02/2021,73.1
PT05,-18.954852,-44.790712,26/04/2021,1.68
PT05,-18.954852,-44.790712,24/05/2021,4.65
PT05,-18.954852,-44.790712,23/06/2021,6.72
PT05,-18.954852,-44.790712,29/07/2021,77.7
PT05,-18.954852,-44.790712,24/08/2021,5.41
PT05,-18.954852,-44.790712,29/09/2021,12.0
PT05,-18.954852,-44.790712,26/10/2021,46.4
PT06,-18.937726,-44.785451,16/12/2020,6.22
PT06,-18.937726,-44.785451,28/01/2021,74.3
PT06,-18.937726,-44.785451,25/02/2021,40.3
PT06,-18.937726,-44.785451,26/04/2021,2.3
PT06,-18.937726,-44.785451,24/05/2021,4.31
PT06,-18.937726,-44.785451,23/06/2021,3.88
PT06,-18.937726,-44.785451,29/07/2021,12.8
PT06,-18.937726,-44.785451,25/08/2021,2.76
PT06,-18.937726,-44.785451,29/09/2021,2.84
PT06,-18.937726,-44.785451,26/10/2021,11.1
PT07,-18.900019,-44.790283,16/12/2020,4.46
PT07,-18.900019,-44.790283,28/01/2021,40.1
PT07,-18.900019,-44.790283,25/02/2021,36.4
PT07,-18.900019,-44.790283,26/04/2021,2.55
PT07,-18.900019,-44.790283,24/05/2021,2.11
PT07,-18.900019,-44.790283,23/06/2021,1.25
PT07,-18.900019,-44.790283,29/07/2021,1.62
PT07,-18.900019,-44.790283,25/08/2021,7.85
PT07,-18.900019,-44.790283,29/09/2021,4.32
PT07,-18.900019,-44.790283,26/10/2021,4.69
PT09,-18.859987343773696,-44.91254351355064,16/12/2020,29.3
PT09,-18.859987343773696,-44.91254351355064,28/01/2021,70.8
PT09,-18.859987343773696,-44.91254351355064,25/02/2021,84.8
PT09,-18.859987343773696,-44.91254351355064,26/04/2021,4.94
PT09,-18.859987343773696,-44.91254351355064,24/05/2021,2.14
PT09,-18.859987343773696,-44.91254351355064,21/06/2021,2.07
PT09,-18.859987343773696,-44.91254351355064,26/07/2021,5.3
PT09,-18.859987343773696,-44.91254351355064,26/08/2021,9.9
