sitio_cod,data,paramet,unidade,result,Latitude,Longitude
TM15,01/06/2022,clorofila a,µg/l,2.14,-18.88812,-45.20045
TM15,01/06/2022,turbidez,ntu,4.17,-18.88812,-45.20045
TM15,01/11/2022,turbidez,ntu,4.78,-18.88812,-45.20045
TM15,16/02/2023,turbidez,ntu,10.1,-18.88812,-45.20045
TM15,24/08/2022,turbidez,ntu,278.6,-18.88812,-45.20045
TM15,21/08/2019,turbidez,ntu,1.03,-18.88812,-45.20045
TM15,17/02/2017,clorofila a,,1.07,-18.88812,-45.20045
TM15,28/02/2019,clorofila a,,1.07,-18.88812,-45.20045
TM15,19/02/2020,clorofila a,,1.07,-18.88812,-45.20045
TM15,23/02/2022,clorofila a,,1.07,-18.88812,-45.20045
TM15,03/05/2016,clorofila a,,1.07,-18.88812,-45.20045
TM15,17/05/2018,clorofila a,,1.07,-18.88812,-45.20045
TM15,22/05/2019,clorofila a,,1.07,-18.88812,-45.20045
TM15,07/05/2020,clorofila a,,1.07,-18.88812,-45.20045
TM15,19/05/2021,clorofila a,,1.07,-18.88812,-45.20045
TM15,25/08/2016,clorofila a,,1.07,-18.88812,-45.20045
TM15,23/08/2018,clorofila a,,1.07,-18.88812,-45.20045
TM15,21/08/2019,clorofila a,,1.07,-18.88812,-45.20045
TM15,26/08/2020,clorofila a,,1.07,-18.88812,-45.20045
TM15,25/08/2021,clorofila a,,1.07,-18.88812,-45.20045
TM15,08/01/2016,clorofila a,,1.07,-18.88812,-45.20045
TM15,22/01/2018,clorofila a,,1.07,-18.88812,-45.20045
TM15,20/01/2019,clorofila a,,1.07,-18.88812,-45.20045
TM15,30/01/2021,clorofila a,,1.07,-18.88812,-45.20045
TM15,01/02/2020,clorofila a,,1.07,-18.88812,-45.20045
TM15,22/05/2019,turbidez,ntu,2.74,-18.88812,-45.20045
TM15,23/08/2018,turbidez,ntu,2.99,-18.88812,-45.20045
TM15,02/02/2021,clorofila a,,3.2,-18.88812,-45.20045
TM15,25/08/2021,turbidez,ntu,3.43,-18.88812,-45.20045
TM15,03/05/2016,turbidez,ntu,3.55,-18.88812,-45.20045
TM15,20/01/2019,turbidez,ntu,3.59,-18.88812,-45.20045
TM15,02/02/2021,turbidez,ntu,4.13,-18.88812,-45.20045
