latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.22376,-45.26183,4.12,,2016-04-29,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,3.55,,2016-05-03,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,3.35,,2016-05-03,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,7.19,,2016-05-03,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,4.03,,2016-05-04,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,8.29,,2016-05-04,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,5.49,,2016-08-25,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,8.31,,2016-08-25,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,2.75,,2016-08-25,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,6.2,,2016-08-24,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,3.4,,2016-08-25,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,1.79,,2016-08-23,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,6.91,,2016-11-08,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,27.1,,2016-11-09,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,7.43,,2016-11-09,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,7.69,,2016-11-08,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,3.93,,2016-11-09,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,2.76,,2016-11-08,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,8.48,,2017-02-17,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,29.6,,2017-02-17,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,9.64,,2017-02-17,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,3.71,,2017-02-16,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,5.18,,2017-02-16,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,6.6,,2017-02-16,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,5.54,,2018-02-28,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,3.19,,2018-02-27,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,10.1,,2018-03-02,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,14.2,,2018-03-02,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,4.98,,2018-03-02,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,6.61,,2018-03-01,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,4.78,,2018-05-17,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,3.92,,2018-05-17,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,8.89,,2018-05-17,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,3.5,,2018-05-16,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,9.18,,2018-05-16,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,5.88,,2018-05-15,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,2.99,,2018-08-23,,,,,,,,,,,,,,,,,
-18.89833,-45.12083,3.21,,2018-08-23,,,,,,,,,,,,,,,,,
-18.8325,-45.13306,4.21,,2018-08-22,,,,,,,,,,,,,,,,,
-18.57222,-45.26083,3.41,,2018-08-22,,,,,,,,,,,,,,,,,
-18.48928,-45.42733,2.95,,2018-08-22,,,,,,,,,,,,,,,,,
-18.22376,-45.26183,2.33,,2018-08-21,,,,,,,,,,,,,,,,,
-18.88812,-45.20045,9.3,,2018-11-22,474.0,719.0,433.0,396.0,174.0,102.0,-0.04463208685162847,-0.42668863261943984,-200.15555555555557,0.7515225334957369,1.5168776371308017,0.6022253129346314,0.9145496535796767,2018-12-18,8.252701,12.0,1.0
